respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
224,MRJ,MW,DH,RH,LK,ZN,JR,BE,CO
225,RH,DH,LK,MRJ,BE,MW,JR,CO,ZN
226,RH,MW,MRJ,DH,LK,CO,BE,JR,ZN
227,RH,DH,MRJ,MW,LK,BE,CO,ZN,JR
228,LK,RH,DH,MRJ,MW,CO,ZN,BE,JR
229,ZN,JR,MW,CO,MRJ,LK,BE,DH,RH
230,ZN,MW,MRJ,RH,JR,DH,LK,BE,CO
231,RH,DH,BE,MRJ,LK,MW,JR,CO,ZN
232,MW,MRJ,LK,CO,DH,ZN,JR,BE,RH
233,DH,MRJ,RH,ZN,CO,JR,BE,MW,LK
234,MW,ZN,MRJ,JR,CO,LK,DH,RH,BE
235,MW,JR,CO,ZN,MRJ,LK,DH,RH,BE
236,CO,JR,MW,ZN,LK,MRJ,DH,BE,RH
237,MW,CO,ZN,MRJ,LK,JR,DH,RH,BE
238,CO,MW,LK,MRJ,ZN,JR,DH,BE,RH
239,LK,RH,MRJ,MW,DH,CO,JR,ZN,BE
240,DH,LK,MRJ,RH,CO,MW,BE,JR,ZN
241,MW,ZN,MRJ,CO,LK,JR,DH,RH,BE
242,MW,MRJ,CO,LK,DH,ZN,JR,BE,RH
243,MW,CO,MRJ,JR,LK,DH,ZN,RH,BE
244,LK,MRJ,MW,CO,DH,RH,BE,ZN,JR
245,RH,DH,BE,MRJ,ZN,JR,CO,MW,LK
246,RH,LK,MRJ,DH,MW,CO,JR,ZN,BE
247,RH,MRJ,DH,LK,MW,BE,CO,JR,ZN
248,LK,RH,DH,MRJ,BE,MW,ZN,JR,CO
249,MW,MRJ,CO,ZN,LK,DH,BE,JR,RH
250,RH,LK,DH,BE,MRJ,MW,CO,JR,ZN
251,RH,MW,MRJ,DH,LK,CO,JR,ZN,BE
252,MW,MRJ,DH,ZN,RH,LK,CO,JR,BE
253,MRJ,ZN,MW,DH,CO,LK,RH,JR,BE
254,BE,RH,LK,DH,MRJ,MW,JR,CO,ZN
255,LK,CO,MW,MRJ,DH,JR,RH,ZN,BE
256,MRJ,MW,LK,CO,ZN,DH,JR,BE,RH
257,MW,ZN,MRJ,JR,CO,LK,DH,BE,RH
258,RH,BE,DH,MRJ,LK,CO,MW,JR,ZN
259,MW,MRJ,DH,ZN,RH,CO,JR,BE,LK
260,CO,MW,LK,RH,MRJ,DH,BE,JR,ZN
261,MW,CO,MRJ,ZN,LK,DH,JR,BE,RH
262,ZN,CO,MW,LK,MRJ,JR,DH,BE,RH
263,MW,CO,LK,RH,MRJ,DH,BE,JR,ZN
264,RH,BE,DH,MRJ,LK,MW,ZN,CO,JR
265,RH,LK,DH,MRJ,MW,BE,CO,JR,ZN
266,MRJ,MW,DH,ZN,RH,BE,CO,LK,JR
267,CO,MW,RH,LK,MRJ,DH,ZN,BE,JR
268,MRJ,RH,DH,MW,LK,CO,JR,BE,ZN
269,MW,LK,CO,MRJ,DH,RH,JR,ZN,BE
270,ZN,MW,MRJ,DH,LK,JR,CO,RH,BE
271,MRJ,MW,DH,ZN,RH,CO,BE,LK,JR
272,MW,MRJ,CO,LK,ZN,DH,BE,RH,JR
273,MW,MRJ,DH,CO,RH,LK,ZN,JR,BE
274,BE,DH,RH,MRJ,CO,ZN,MW,JR,LK
275,MW,MRJ,ZN,DH,CO,JR,LK,RH,BE
276,MW,MRJ,CO,ZN,LK,DH,JR,RH,BE
277,MRJ,RH,DH,MW,LK,CO,BE,JR,ZN
278,CO,MW,LK,RH,MRJ,DH,BE,JR,ZN
279,BE,DH,RH,MRJ,CO,ZN,JR,MW,LK
280,JR,CO,ZN,MW,MRJ,LK,DH,RH,BE
281,CO,MW,LK,MRJ,RH,DH,JR,BE,ZN
282,LK,CO,MW,RH,MRJ,DH,JR,BE,ZN
283,ZN,MW,MRJ,CO,JR,LK,DH,RH,BE
284,MRJ,DH,MW,LK,BE,RH,JR,CO,ZN
285,MRJ,RH,DH,MW,LK,ZN,JR,BE,CO
286,JR,CO,ZN,MW,MRJ,LK,RH,BE,DH
287,RH,DH,MRJ,BE,MW,LK,CO,JR,ZN
288,MW,MRJ,RH,DH,CO,JR,ZN,LK,BE
289,RH,MRJ,MW,DH,LK,CO,JR,BE,ZN
290,DH,RH,MRJ,MW,BE,JR,CO,ZN,LK
291,MRJ,ZN,MW,DH,BE,LK,JR,RH,CO
292,MRJ,DH,LK,MW,RH,BE,ZN,JR,CO
293,MW,MRJ,CO,DH,LK,ZN,RH,JR,BE
294,BE,LK,RH,DH,MRJ,JR,CO,MW,ZN
295,MRJ,MW,DH,RH,ZN,BE,CO,JR,LK
296,ZN,MW,MRJ,CO,JR,LK,DH,RH,BE
297,MRJ,MW,DH,RH,ZN,CO,LK,BE,JR
298,CO,LK,MW,MRJ,DH,RH,ZN,JR,BE
299,RH,DH,MRJ,BE,MW,CO,JR,LK,ZN
300,DH,RH,BE,MRJ,LK,MW,JR,CO,ZN
301,MRJ,MW,ZN,DH,LK,BE,CO,JR,RH
302,MW,MRJ,CO,LK,ZN,DH,JR,BE,RH
303,MW,MRJ,ZN,DH,BE,JR,CO,LK,RH
304,JR,CO,ZN,MW,MRJ,LK,DH,RH,BE
305,CO,MW,JR,LK,ZN,MRJ,DH,BE,RH
306,MW,MRJ,DH,ZN,BE,LK,CO,RH,JR
307,MRJ,LK,DH,MW,CO,RH,ZN,JR,BE
308,RH,MRJ,MW,DH,LK,CO,BE,ZN,JR
309,DH,MRJ,RH,LK,MW,CO,JR,ZN,BE
310,BE,RH,DH,MRJ,LK,MW,CO,ZN,JR
311,LK,RH,DH,BE,MRJ,ZN,CO,JR,MW
312,JR,ZN,CO,MW,MRJ,LK,DH,BE,RH
313,JR,ZN,CO,MW,MRJ,LK,DH,BE,RH
314,BE,DH,RH,MRJ,MW,ZN,CO,JR,LK
315,MW,CO,MRJ,LK,ZN,DH,JR,RH,BE
316,MW,RH,MRJ,DH,CO,LK,ZN,BE,JR
317,CO,MW,MRJ,LK,DH,RH,JR,ZN,BE
318,ZN,MW,MRJ,DH,JR,RH,CO,LK,BE
319,RH,MRJ,MW,LK,DH,CO,ZN,JR,BE
320,JR,CO,ZN,MW,LK,MRJ,RH,BE,DH
321,MW,ZN,MRJ,DH,JR,CO,LK,RH,BE
322,MW,MRJ,DH,RH,LK,ZN,BE,CO,JR
323,DH,MRJ,RH,BE,ZN,JR,CO,LK,MW
324,MW,LK,RH,MRJ,DH,CO,BE,ZN,JR
325,ZN,MW,MRJ,CO,LK,JR,DH,BE,RH
326,MRJ,DH,LK,MW,RH,ZN,JR,BE,CO
327,ZN,MRJ,MW,LK,JR,BE,CO,RH,DH
328,CO,LK,MW,MRJ,DH,JR,RH,ZN,BE
329,MRJ,DH,RH,MW,BE,ZN,CO,JR,LK
330,MW,MRJ,LK,CO,DH,RH,JR,BE,ZN
331,LK,RH,DH,MRJ,MW,BE,CO,JR,ZN
332,BE,RH,DH,MRJ,ZN,JR,MW,LK,CO
333,ZN,MW,MRJ,CO,LK,DH,JR,RH,BE
334,RH,MRJ,DH,MW,BE,LK,CO,ZN,JR
335,RH,DH,MRJ,BE,MW,LK,JR,ZN,CO
