variable,domain,type,stat_label,question,overall,CON,CON_hi_ae,CON_lo_ae,CON_hi_pc,CON_lo_pc,SD,SD_hi_so,SD_lo_so,SD_hi_ae,SD_lo_ae,SD_hi_pc,SD_lo_pc,STY,STY_hi_so,STY_lo_so,STY_hi_ae,STY_lo_ae,STY_hi_pc,STY_lo_pc,NAT,NAT_hi_ae,NAT_lo_ae,LIB,LIB_hi_pc,LIB_lo_pc,POP,POP_hi_ae,POP_lo_ae,POP_hi_pc,POP_lo_pc,CUP,CUP_hi_pc,CUP_lo_pc,DSA,DSA_hi_ae,DSA_lo_ae,PRG,factor_sensitive_so,factor_sensitive_ae,factor_sensitive_rt,factor_sensitive_pc,fd_senate_condorcet,fd_senate_irv,fd_house
CC24_324b,Abortion,binary,% Supporting,Permit abortion only in rape/incest/life danger cases,51.3964,72.6163,74.3944,70.8382,77.7943,67.4383,36.9495,42.6006,31.2984,38.7276,35.1714,42.1275,31.7715,56.8046,62.4557,51.1535,58.5827,55.0265,61.9826,51.6266,72.2413,74.0194,70.4632,25.7348,30.9128,20.5568,60.3942,62.1723,58.6161,65.5722,55.2162,65.4458,70.6238,60.2678,14.1527,15.9308,12.3746,6.143,True,False,False,True,56.3161431372549,53.45922156862745,50.43916941580757
CC24_340b,Abortion,binary,% Supporting,Prohibit restrictions on abortion access (Congress bill),63.0207,48.7144,46.2351,51.1937,43.2212,54.2076,82.7413,77.649,87.8336,80.262,85.2206,77.2481,88.2345,53.177,48.0847,58.2693,50.6977,55.6563,47.6838,58.6702,31.5194,29.0401,33.9987,88.8153,83.3221,94.3085,43.5041,41.0248,45.9834,38.0109,48.9973,53.8649,48.3717,59.3581,94.0501,91.5708,96.5294,95.6766,True,False,False,True,62.638329411764715,66.13003529411765,64.15247835051547
CC24_444c,Abortion,binary,% Supporting,Prohibit abortion-inducing drugs by mail,41.2474,63.5861,65.7001,61.4721,69.7528,57.4194,22.9448,29.1481,16.7415,25.0588,20.8308,29.1115,16.7781,39.0023,45.2056,32.799,41.1163,36.8883,45.169,32.8356,74.6758,76.7898,72.5618,11.1838,17.3505,5.0171,58.7169,60.8309,56.6029,64.8836,52.5502,54.5528,60.7195,48.3861,3.7817,5.8957,1.6677,1.466,True,False,False,True,43.88212549019608,41.50066274509803,40.32468327605957
CC24_444d,Abortion,binary,% Supporting,Prohibit women traveling to another state for abortion,18.4855,27.1627,28.1551,26.1703,29.7225,24.6029,8.8986,11.4985,6.2987,9.891,7.9062,11.4584,6.3388,25.6106,28.2105,23.0107,26.603,24.6182,28.1704,23.0508,27.2533,28.2457,26.2609,3.6846,6.2444,1.1248,26.8387,27.8311,25.8463,29.3985,24.2789,28.0167,30.5765,25.4569,0.469,1.4614,0.0,0.1411,False,False,False,False,20.968321568627452,17.88599019607844,18.211589003436426
CC24_340c,Civil Liberties,binary,% Supporting,Federal recognition of same-sex & interracial marriages,66.0666,47.846,44.8671,50.8249,41.3606,54.3314,95.9375,90.1162,100.0,92.9586,98.9164,89.4521,100.0,54.3011,48.4798,60.1224,51.3222,57.28,47.8157,60.7865,26.541,23.5621,29.5199,97.2584,90.773,100.0,43.4016,40.4227,46.3805,36.9162,49.887,55.8161,49.3307,62.3015,98.4739,95.495,100.0,99.9117,True,False,False,True,67.50251764705884,71.73830392156864,67.67351901489117
CC24_340d,Civil Liberties,binary,% Supporting,Ban TikTok unless China sells to a US company,55.4871,73.6451,73.3235,73.9667,76.9815,70.3087,44.4839,48.7025,40.2653,44.1623,44.8055,47.8203,41.1475,40.7118,44.9304,36.4932,40.3902,41.0334,44.0482,37.3754,76.8622,76.5406,77.1838,52.3658,55.7022,49.0294,54.7864,54.4648,55.108,58.1228,51.45,62.4261,65.7625,59.0897,20.813,20.4914,21.1346,32.151,True,False,False,True,56.88956470588235,58.638788235294115,54.68662142038947
CC24_340e,Civil Liberties,binary,% Supporting,Renew post-9/11 surveillance programs,34.0178,45.1447,43.8497,46.4397,44.7211,45.5683,36.4273,37.7676,35.087,35.1323,37.7223,36.0037,36.8509,30.2967,31.637,28.9564,29.0017,31.5917,29.8731,30.7203,9.4977,8.2027,10.7927,43.0105,42.5869,43.4341,21.3699,20.0749,22.6649,20.9463,21.7935,45.6591,45.2355,46.0827,18.3327,17.0377,19.6277,3.7548,False,False,False,False,41.25536274509803,41.24161176470589,33.71899243986254
CC24_444a,Civil Liberties,binary,% Supporting,Prevent gender transition surgery for minors,60.1484,78.1244,80.3154,75.9334,83.9855,72.2633,48.9304,54.9275,42.9333,51.1214,46.7394,54.7915,43.0693,60.1361,66.1332,54.139,62.3271,57.9451,65.9972,54.275,88.9089,91.0999,86.7179,32.5615,38.4226,26.7004,78.3789,80.5699,76.1879,84.24,72.5178,72.2826,78.1437,66.4215,21.6662,23.8572,19.4752,15.5509,True,False,False,True,63.93497843137255,61.62416470588236,59.3014476517755
CC24_444b,Civil Liberties,binary,% Supporting,Parental consent for name/pronoun changes at school,62.7367,85.3977,87.8442,82.9512,92.4005,78.3949,45.6794,53.0219,38.3369,48.1259,43.2329,52.6822,38.6766,63.6007,70.9432,56.2582,66.0472,61.1542,70.6035,56.5979,94.3123,96.7588,91.8658,34.6172,41.62,27.6144,85.0514,87.4979,82.6049,92.0542,78.0486,75.434,82.4368,68.4312,11.6714,14.1179,9.2249,7.6704,True,False,False,True,66.07789607843138,63.991794117647075,61.03281214203895
CC24_444e,Civil Liberties,binary,% Supporting,Age verification for adult web content,78.7779,88.5785,89.0508,88.1062,90.738,86.419,75.2629,77.9676,72.5582,75.7352,74.7906,77.4224,73.1034,77.5991,80.3038,74.8944,78.0714,77.1268,79.7586,75.4396,87.0568,87.5291,86.5845,72.9322,75.0917,70.7727,78.8884,79.3607,78.4161,81.0479,76.7289,83.4249,85.5844,81.2654,59.0949,59.5672,58.6226,53.2211,False,False,False,False,81.24635490196077,81.34779215686277,78.10518888888889
CC24_444f,Civil Liberties,binary,% Supporting,School voucher subsidies,56.1512,70.5407,73.3736,67.7078,75.9581,65.1233,44.454,49.5834,39.3246,47.2869,41.6211,49.8714,39.0366,61.4132,66.5426,56.2838,64.2461,58.5803,66.8306,55.9958,86.9864,89.8193,84.1535,26.5249,31.9423,21.1075,71.3714,74.2043,68.5385,76.7888,65.954,65.6888,71.1062,60.2714,33.7039,36.5368,30.871,11.9711,True,False,False,True,58.56338823529411,55.67694705882352,55.176323482245124
CC24_326a,Environment & Climate,binary,% Supporting,Give EPA power to regulate CO2 emissions,62.3942,39.213,35.5877,42.8383,31.3534,47.0726,88.7817,81.8757,95.6877,85.1564,92.407,80.9221,96.6413,67.2327,60.3267,74.1387,63.6074,70.858,59.3731,75.0923,4.9293,1.304,8.5546,95.241,87.3814,100.0,31.6727,28.0474,35.298,23.8131,39.5323,63.453,55.5934,71.3126,96.8977,93.2724,100.0,98.6686,True,True,False,True,67.30609607843138,66.24293137254902,64.27919404352807
