candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,margin,margin_pct,lock_order,locked,rp_winner_overall,state_fips,state_abbr
CON_ref,PRG_dsa,639.128472516466,582.6473660558197,56.48,4.6229,9,True,SD,53,WA
CON_ref,SD,486.94459695823525,734.8312416140504,247.89,20.289,4,True,SD,53,WA
CTR,LIB_dsa,592.1244571203256,629.6513814519601,37.53,3.0715,10,True,SD,53,WA
CTR,PRG_dsa,668.1542073854639,553.6216311868218,114.53,9.3743,7,True,SD,53,WA
CTR,SD,513.0143453971277,708.761493175158,195.75,16.0215,6,True,SD,53,WA
LIB_dsa,PRG_dsa,766.1300185470286,455.6458200252571,310.48,25.4125,3,True,SD,53,WA
LIB_dsa,SD,498.12063889945955,723.6551996728261,225.53,18.4596,5,True,SD,53,WA
PRG_dsa,SD,414.4525681288961,807.3232704433897,392.87,32.1557,2,True,SD,53,WA
CON,CON_ctr,163.67454668261973,196.58470496279963,32.91,9.1351,10,True,CON_ctr,54,WV
CON,NAT,263.8977081896586,96.36154345576082,167.54,46.5043,2,True,CON_ctr,54,WV
CON,SD,215.93580848509242,144.32344316032697,71.61,19.878,8,True,CON_ctr,54,WV
CON,STY_sd,210.8327865856444,149.426465059775,61.41,17.045,9,True,CON_ctr,54,WV
CON_ctr,NAT,274.55677391392663,85.7024777314928,188.85,52.4218,1,True,CON_ctr,54,WV
CON_ctr,SD,236.10228963888852,124.15696200653093,111.95,31.0735,6,True,CON_ctr,54,WV
CON_ctr,STY_sd,238.55772170379709,121.70152994162234,116.86,32.4367,5,True,CON_ctr,54,WV
NAT,SD,125.8358396596638,234.42341198575562,108.59,30.1415,7,True,CON_ctr,54,WV
NAT,STY_sd,117.41056360947559,242.8486880359439,125.44,34.8188,3,True,CON_ctr,54,WV
SD,STY_sd,120.6059239029172,239.6533277425022,119.05,33.0449,4,True,CON_ctr,54,WV
CON,CTR_con,407.7595519246753,561.6504264168016,153.89,15.8747,6,True,CTR_con,55,WI
CON,LIB_sd,521.7283149751954,447.6816633662814,74.05,7.6383,8,True,CTR_con,55,WI
CON,REF,599.1241188580112,370.2858594834657,228.84,23.6059,3,True,CTR_con,55,WI
CON,SD_sty,465.68570925493566,503.7242690865412,38.04,3.9239,9,True,CTR_con,55,WI
CTR_con,LIB_sd,565.6838074856678,403.72617085580913,161.96,16.7068,4,True,CTR_con,55,WI
CTR_con,REF,639.3202862847152,330.08969205676163,309.23,31.8988,2,True,CTR_con,55,WI
CTR_con,SD_sty,521.8944196223931,447.51555871908374,74.38,7.6726,7,True,CTR_con,55,WI
LIB_sd,REF,486.339790845321,483.0701874961558,3.27,0.3373,10,True,CTR_con,55,WI
LIB_sd,SD_sty,325.99161359340246,643.4183647480744,317.43,32.7443,1,True,CTR_con,55,WI
REF,SD_sty,406.1189452285804,563.2910331128965,157.17,16.2132,5,True,CTR_con,55,WI
CON,CTR_sty,55.820149660006386,42.4780621911649,13.34,13.5731,10,True,CON,56,WY
CON,LIB_dsa,70.11103196705423,28.18717988411705,41.92,42.6497,2,True,CON,56,WY
CON,NAT_ref,63.67067173419282,34.62754011697847,29.04,29.5459,4,True,CON,56,WY
CON,REF,62.72009093214285,35.57812091902844,27.14,27.6119,5,True,CON,56,WY
CTR_sty,LIB_dsa,79.32519779280726,18.973014058364033,60.35,61.397,1,True,CON,56,WY
CTR_sty,NAT_ref,55.85784969010607,42.44036216106521,13.42,13.6498,9,True,CON,56,WY
CTR_sty,REF,56.49714044166517,41.80107140950612,14.7,14.9505,8,True,CON,56,WY
LIB_dsa,NAT_ref,37.815566385760356,60.48264546541095,22.67,23.0595,6,True,CON,56,WY
LIB_dsa,REF,34.1440326141285,64.1541792370428,30.01,30.5297,3,True,CON,56,WY
NAT_ref,REF,38.05928848071342,60.238923370457876,22.18,22.5636,7,True,CON,56,WY
