type_a,chamber_a,type_b,chamber_b,F1_SecOrd_dist,F2_ElecSkep_dist,F3_GovtDis_dist,F4_ReligTrad_dist,F5_PopCons_dist,euclidean_5d,F1_SecOrd_align,F2_ElecSkep_align,F3_GovtDis_align,F4_ReligTrad_align,F5_PopCons_align,overall_align
CON/POP,senate,SD/CUP,senate,0.7141,0.5886,0.0354,0.3372,0.9171,1.3462,0.6552,0.6265,0.8962,0.6006,0.6332,0.6126
SD/LIB,senate,STY,both,0.0082,1.0387,0.1289,0.4986,0.6906,1.3495,0.996,0.3409,0.6221,0.4094,0.7238,0.6117
SD,senate,STY/POP,senate,0.26,0.7356,0.1109,0.5013,0.9754,1.3504,0.8744,0.5332,0.6749,0.4062,0.6099,0.6114
CON/CUP,senate,POP,both,0.3745,1.0841,0.2085,0.0378,0.7013,1.361,0.8192,0.3121,0.3887,0.9552,0.7195,0.6084
SD/STY,senate,CUP,both,0.6905,1.0122,0.2797,0.3063,0.4371,1.3654,0.6666,0.3577,0.18,0.6372,0.8252,0.6071
CON/CUP,senate,STY/SD,senate,1.0069,0.6377,0.11,0.2749,0.6022,1.3678,0.5138,0.5953,0.6775,0.6744,0.7591,0.6064
SD/STY,senate,PRG,house,0.8353,0.8294,0.311,0.2102,0.5916,1.3699,0.5966,0.4737,0.0882,0.751,0.7634,0.6058
CON/CUP,senate,SD/STY,senate,1.0015,0.5204,0.1029,0.3615,0.6874,1.3739,0.5164,0.6698,0.6983,0.5718,0.7251,0.6046
SD/CON,senate,POP,both,0.0494,0.7873,0.3068,0.2213,1.0712,1.3831,0.9761,0.5004,0.1006,0.7379,0.5715,0.602
SD/CUP,senate,PRG,house,1.1381,0.2644,0.1829,0.2461,0.6852,1.3888,0.4504,0.8322,0.4638,0.7085,0.7259,0.6004
SD/LIB,senate,STY/CON,senate,0.5136,0.7457,0.1192,0.5218,0.9077,1.3893,0.752,0.5268,0.6505,0.3819,0.6369,0.6002
CON/SD,senate,LIB,both,0.698,0.7163,0.1883,0.2881,0.9391,1.4144,0.6629,0.5455,0.448,0.6587,0.6244,0.593
CON/POP,senate,STY/SD,senate,1.0223,0.0937,0.0998,0.2865,0.9254,1.4151,0.5063,0.9405,0.7074,0.6606,0.6299,0.5928
STY/SD,senate,CUP,both,0.6959,1.1295,0.2868,0.2197,0.3519,1.4193,0.6639,0.2833,0.1592,0.7398,0.8592,0.5916
STY/CON,senate,LIB/CUP,senate,0.2468,1.1378,0.2451,0.3297,0.709,1.4237,0.8808,0.278,0.2814,0.6095,0.7164,0.5903
CON/STY,senate,LIB/CUP,senate,0.4288,1.0356,0.2417,0.3379,0.7847,1.4299,0.7929,0.3429,0.2914,0.5997,0.6861,0.5885
CON/STY,senate,NAT,house,0.4789,0.1651,0.328,0.2614,1.2797,1.4388,0.7687,0.8952,0.0384,0.6904,0.4881,0.586
CON/CUP,senate,SD,senate,0.9911,0.2927,0.0891,0.5295,0.853,1.4436,0.5214,0.8143,0.7388,0.3728,0.6588,0.5846
SD/CUP,senate,POP/STY,senate,0.0843,1.0912,0.0577,0.2943,0.9056,1.4519,0.9593,0.3076,0.8308,0.6514,0.6378,0.5822
CON/CUP,senate,STY,both,1.0228,0.9827,0.1309,0.0203,0.3513,1.4672,0.5061,0.3764,0.6162,0.976,0.8595,0.5778
CON/STY,senate,SD/LIB,senate,0.6955,0.6435,0.1158,0.53,0.9833,1.4694,0.6641,0.5917,0.6605,0.3722,0.6067,0.5772
CON/NAT,senate,CUP,both,0.4865,1.0142,0.1291,0.206,0.9269,1.4777,0.7651,0.3564,0.6215,0.756,0.6293,0.5748
CON,both,STY,both,1.2134,0.6814,0.0225,0.0541,0.5047,1.4815,0.414,0.5676,0.934,0.9359,0.7981,0.5737
CON/CUP,senate,NAT,house,0.1598,0.7526,0.2102,0.2725,1.2211,1.4837,0.9228,0.5224,0.3838,0.6772,0.5116,0.573
STY/POP,senate,NAT,house,0.8909,0.2757,0.1884,0.3007,1.0987,1.4842,0.5698,0.8251,0.4477,0.6438,0.5605,0.5729
CON/POP,senate,SD/STY,senate,1.0169,0.0236,0.0927,0.3731,1.0106,1.4846,0.5089,0.985,0.7282,0.558,0.5958,0.5728
CON,both,STY/SD,senate,1.1975,0.3364,0.0016,0.3087,0.7556,1.4878,0.4217,0.7865,0.9953,0.6343,0.6978,0.5719
STY/SD,senate,PRG,house,0.8299,0.9467,0.3181,0.2968,0.6768,1.4941,0.5992,0.3993,0.0674,0.6484,0.7293,0.5701
LIB,both,DSA,house,0.8411,1.2477,0.1623,0.0639,0.0756,1.5167,0.5938,0.2083,0.5242,0.9243,0.9698,0.5636
CON,both,SD/STY,senate,1.1921,0.2191,0.0055,0.3953,0.8408,1.5272,0.4243,0.861,0.9839,0.5317,0.6637,0.5605
SD,senate,POP/STY,senate,0.3767,0.7539,0.172,0.4982,1.1648,1.5313,0.8181,0.5216,0.4957,0.4099,0.5341,0.5594
CON/CUP,senate,SD/LIB,senate,1.0146,0.056,0.002,0.5189,1.0419,1.5451,0.51,0.9645,0.9941,0.3853,0.5833,0.5554
STY/SD,senate,POP,both,0.6324,0.4464,0.3185,0.2371,1.3035,1.5672,0.6946,0.7167,0.0663,0.7191,0.4786,0.549
STY/CON,senate,NAT,house,0.6608,0.0629,0.3314,0.2695,1.3554,1.5685,0.6809,0.9601,0.0284,0.6808,0.4579,0.5486
STY,both,LIB/CUP,senate,0.2749,1.4308,0.2548,0.3065,0.492,1.5886,0.8672,0.0921,0.253,0.6369,0.8032,0.5429
