pid3,ideo5,inputstate,commonpostweight,govt_trust_imputed,FS_F1,FS_F2,FS_F3,FS_F4_resid,cluster,prob_cluster_0,prob_cluster_1,prob_cluster_2,prob_cluster_3,prob_cluster_4,prob_cluster_5,prob_cluster_6,prob_cluster_7,prob_cluster_8,prob_cluster_9
1.0,2.0,13.0,1.522485458389949,0,-1.224067646490014,0.4342439706318576,1.0287204648908015,0.2749574777954555,8,2.8868572922730885e-21,0.0836503161374802,6.475816418150649e-178,0.009614895525073469,0.11132882330191309,1.4902921856600896e-10,1.180424267910036e-13,4.114208350477169e-05,0.7953648228028809,7.205750847064985e-51
1.0,2.0,55.0,3.311319732374418,0,-1.1279894967475754,-0.6988255231958436,0.3999700880011021,-0.1095581341196202,4,1.9257606158495269e-22,0.0023047169852219614,6.835466741702872e-150,0.0005243528264590844,0.9147511401504022,7.714224362386857e-10,1.1353503406413078e-09,6.055441709451784e-12,0.08241978812508863,1.4880008748754532e-39
2.0,5.0,47.0,1.600430825103686,0,0.6383025001594983,-0.7380231443413421,0.5243902342641833,0.7914316249027826,0,0.991157476115538,0.0015881545238037276,2.999145460725789e-07,0.007181426849117734,2.3349902021095375e-29,6.278530271237467e-05,5.273622779038566e-18,5.5666945921620936e-241,1.0883302892472792e-21,9.857294282002601e-06
3.0,3.0,19.0,1.111001774533817,1,-1.2290843596345626,0.8823821681349456,-0.279841683250069,0.3199600761224643,1,2.0495086943805013e-26,0.951871390390447,1.2784536457585084e-162,0.027455204621989908,6.713772298151348e-16,7.478779567321919e-15,6.200498200868275e-16,0.0062375184552233495,0.014435886532330942,5.346482540341083e-49
2.0,4.0,32.0,0.4489246983096729,1,-0.5510101869565289,0.7236662620161392,-1.9431773521746871,-0.1708099630706765,3,3.465933340446999e-17,0.0004840630215729396,1.1687904870855967e-68,0.9995157911343979,8.040471086746615e-52,1.458439300168737e-07,4.345318497546787e-15,1.4914972794441816e-50,9.479166204407796e-14,2.7792175997151663e-25
1.0,2.0,8.0,0.8660720949880162,0,0.6057313469983716,-0.7678812030581814,0.4516283996062323,-0.9899773482539108,0,0.8230634510357047,0.04539991290523418,4.034211202026689e-11,0.009119209875789529,1.339141080113253e-07,3.056098370877585e-05,1.4729127358359914e-09,1.552021366953769e-296,9.658089419211359e-09,0.12238672011411063
3.0,4.0,25.0,0.4904538149507803,0,-0.0780061771421912,-0.7816888196642436,1.1925406555435976,0.0831928039319192,6,0.0034746808697980404,0.3256114650120309,2.2676860059711883e-48,0.023432444688667373,0.0008507763180846941,0.04347531830603056,0.6030815285857998,1.533522426808578e-128,6.350624787687296e-05,1.0279971711740168e-05
1.0,3.0,32.0,1.783225025961243,1,0.5361957122576753,-0.8202442309329505,1.5556751643444366,-0.2436480173392579,9,0.08849542627095609,0.03390954865781682,2.7235998374115912e-19,0.0010946376608660247,5.4987584999819105e-08,7.490252352140906e-08,9.879954063995486e-07,1.9096043723203639e-274,1.1562366722851322e-10,0.8764992694092225
1.0,2.0,39.0,0.4113380885555183,0,-0.1400602549543234,-0.899946403443333,1.216486768598947,-0.6340082913636615,6,0.00010037047469888217,0.007757089797630812,4.996775911989149e-56,0.0028765947926812528,0.004837685375491208,0.020679017214885943,0.9636412168817229,1.1866899231025609e-146,9.458689504689878e-05,1.3438567842241326e-05
2.0,4.0,13.0,0.9082579378988656,0,0.3441034715529456,-0.6494949157029835,-0.7857730805194548,0.9398177656147524,5,0.09762152681572937,1.826212553792117e-06,2.299884317882176e-10,0.09019272469828993,1.082907722297319e-50,0.8121839220424627,4.271935830197241e-23,3.212163827336779e-176,2.722724826933632e-26,9.760555340129907e-13
1.0,2.0,36.0,2.344500693791797,0,0.3326355851308675,-1.192030935134977,0.9569363847546204,0.4582835097197566,0,0.6500737681917264,0.31069560440788013,1.8375881186395433e-19,0.02249876004452003,2.3190637163098444e-13,0.0015426141656157957,3.6515908872215376e-07,2.1067210381125867e-194,3.2720476147183026e-11,0.01518888799821651
1.0,3.0,47.0,0.974479120790396,1,-0.2674259636515037,0.3380004220125294,-0.8895728960745232,0.6001300626601734,3,5.369431051661116e-08,0.002349390926900927,1.871160983298727e-47,0.975744827626173,4.3054736604871185e-39,0.02190572775222191,3.8226257124863404e-13,6.848077645326715e-74,1.1576710770828812e-14,4.9347291374802656e-17
2.0,,42.0,0.8952789019088786,1,0.3049284461461778,1.3878945587073774,-1.872808365224292,-0.704014498695521,3,1.0435100154751267e-05,1.9028128372162734e-06,8.98874810510076e-16,0.9872087348095212,2.124733808375794e-74,0.012778927277486241,6.52193362551905e-26,9.338751465722337e-162,8.142006549996095e-24,7.532695556638705e-22
1.0,1.0,50.0,0.4375657345530578,0,-1.362432553026872,0.160722808430944,0.7637119979323911,0.3644508553376457,7,1.1751314692838962e-25,0.03865465076679538,1.035151163292022e-191,0.0036821771616958343,0.11365799050245191,1.987352353285986e-13,6.950628896227943e-17,0.5238509355812805,0.3201542459875778,4.543064275041098e-58
1.0,2.0,5.0,0.2490369289195526,0,-1.2323809209889698,0.4679225705625466,0.5647386137099206,0.9548608804332112,1,7.254536193106922e-22,0.8950919098045573,1.8852204088270306e-168,0.10002524540337737,6.115404343175664e-08,3.4424312139613694e-12,1.5232778514462014e-17,0.00022578786233191844,0.004656995772247124,7.820590559927668e-55
