state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_NAT,inc_CON,inc_OAO,inc_POP,inc_LBR,inc_CUP,inc_LIB,inc_STY,inc_DSA,inc_PRG
32,NV,CON_1,CON,20.19,5.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LBR_1,LBR,17.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,LIB_1,LIB,9.04,0.0,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.0,6.05
32,NV,POP_1,POP,8.71,4.9,1.78,0.0,0.0,0.0,9.93,0.0,1.8,0.0,0.0
32,NV,STY_1,STY,13.91,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,4.12,0.0
33,NH,CON_1,CON,11.91,2.49,0.0,8.56,2.81,0.0,0.85,0.0,0.0,0.0,0.0
33,NH,CUP_1,CUP,8.78,0.0,0.0,3.37,0.0,0.0,0.0,3.51,1.98,5.26,2.77
33,NH,DSA_1,DSA,11.48,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,0.0,10.09
33,NH,LBR_1,LBR,18.71,0.0,0.0,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,POP_1,POP,6.5,3.6,0.0,0.0,0.0,0.0,4.55,0.0,3.63,1.54,0.0
34,NJ,CON_1,CON,17.74,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0
34,NJ,LBR_1,LBR,13.69,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,5.8,0.0
34,NJ,LIB_1,LIB,12.15,0.0,0.0,2.8,0.0,0.0,0.69,0.0,0.0,0.0,8.36
34,NJ,POP_1,POP,8.98,8.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NJ,STY_1,STY,9.39,0.0,0.0,1.65,0.77,2.04,1.44,3.08,0.0,0.0,0.0
35,NM,CON_1,CON,17.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_1,LBR,22.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LIB_1,LIB,8.0,0.0,0.0,0.9,0.0,1.16,0.0,0.0,1.37,0.0,5.94
35,NM,POP_1,POP,5.94,5.76,0.0,0.0,0.0,0.0,15.99,0.0,4.24,0.0,0.0
35,NM,STY_1,STY,14.43,0.0,0.0,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0
36,NY,CON_1,CON,15.18,4.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,NY,CUP_1,CUP,8.42,0.0,0.79,6.0,16.48,0.51,0.0,0.92,0.0,0.0,0.0
36,NY,LBR_1,LBR,16.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.24,0.0
36,NY,LIB_1,LIB,10.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66
36,NY,STY_1,STY,10.81,0.0,0.0,0.0,0.0,3.26,0.0,1.18,0.0,1.32,0.0
37,NC,CON_1,CON,21.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,NC,CUP_1,CUP,7.62,2.41,1.15,2.61,0.0,0.0,0.0,2.1,2.77,0.0,0.0
37,NC,LBR_1,LBR,11.41,0.0,0.0,2.59,0.0,0.0,0.0,13.14,0.0,4.12,0.0
37,NC,POP_1,POP,10.56,9.02,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,NC,STY_1,STY,12.23,0.0,0.57,0.61,4.52,1.24,0.0,0.0,0.0,0.72,0.0
38,ND,CON_1,CON,22.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,CUP_1,CUP,14.74,0.0,0.0,1.96,0.0,0.0,0.0,0.0,3.57,0.0,0.0
38,ND,LBR_1,LBR,16.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0
38,ND,LIB_1,LIB,7.73,0.0,14.39,2.49,0.0,0.0,0.0,0.0,0.69,0.0,4.19
38,ND,POP_1,POP,15.14,0.0,0.0,0.0,0.0,0.0,1.98,0.0,3.25,0.0,0.0
