state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_ae,fc_pct_CON_hi_pc,fc_pct_CON_lo_ae,fc_pct_CON_lo_pc,fc_pct_CTR,fc_pct_CTR_hi_pc,fc_pct_CTR_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_ae,fc_pct_DSA_lo_ae,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_ae,fc_pct_NAT_lo_ae,fc_pct_PRG,fc_pct_REF,fc_pct_REF_hi_ae,fc_pct_REF_hi_pc,fc_pct_REF_lo_ae,fc_pct_REF_lo_pc,fc_pct_SD,fc_pct_SD_hi_ae,fc_pct_SD_hi_pc,fc_pct_SD_hi_so,fc_pct_SD_lo_ae,fc_pct_SD_lo_pc,fc_pct_SD_lo_so,fc_pct_STY,fc_pct_STY_hi_ae,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_ae,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
13,GA,CON_lo_pc,CON,pc,lo,1472.39,5,3.444,3.159,3.301,2.883,5.931,4.525,3.578,5.127,1.147,2.996,2.15,3.0,3.26,2.38,4.064,1.168,4.591,3.565,0.709,2.282,1.571,2.94,0.619,4.975,1.117,1.591,2.948,2.134,2.218,2.221,3.267,0.965,2.271,2.327,1.265,1.804,2.508
15,HI,SD_hi_ae,SD,ae,hi,203.15,5,1.872,1.574,3.263,6.225,4.618,1.642,2.294,6.822,1.368,6.456,1.113,2.823,4.792,5.54,1.064,1.652,0.241,1.219,0.848,2.38,2.684,0.508,2.723,0.646,5.901,2.829,4.086,1.627,5.132,1.314,1.349,5.154,2.978,1.279,0.476,1.606,1.899
16,ID,CON_hi_pc,CON,pc,hi,325.33,5,1.286,1.793,5.808,7.395,2.012,2.563,5.442,1.91,3.121,4.161,1.836,2.037,1.234,2.071,4.703,3.526,9.821,4.004,3.961,2.452,6.181,4.127,1.761,1.376,0.998,0.418,1.667,1.866,2.489,0.739,0.764,0.538,0.125,0.747,4.009,0.527,0.532
17,IL,SD_lo_ae,SD,ae,lo,1460.33,5,2.226,4.398,3.4,2.956,4.468,5.485,2.291,6.028,2.407,3.065,1.519,4.679,3.733,4.158,2.639,2.907,2.175,7.027,1.935,1.339,1.793,0.804,2.083,1.822,1.523,3.146,3.945,3.849,1.58,1.961,0.981,0.568,1.659,3.599,0.862,0.476,0.513
18,IN,CON_hi_pc,CON,pc,hi,994.99,5,3.413,3.493,6.499,3.363,5.394,3.993,3.151,5.887,1.455,1.701,3.345,3.866,2.434,4.048,5.303,3.409,3.244,2.753,3.413,2.277,1.714,1.82,1.932,1.182,1.533,2.437,4.072,0.748,3.477,2.304,0.411,1.355,0.922,1.184,0.447,0.511,1.511
19,IA,CON_hi_pc,CON,pc,hi,446.79,5,2.033,1.615,8.309,3.432,5.082,3.042,5.545,4.619,1.613,4.301,2.274,1.823,5.228,3.639,3.332,2.208,8.249,5.596,3.23,3.049,0.63,1.777,2.124,2.231,1.018,0.73,1.901,2.093,1.415,1.025,3.306,0.014,0.8,0.831,0.0,1.142,0.742
20,KS,CON_lo_ae,CON,ae,lo,372.7,5,4.733,2.402,4.914,9.012,1.596,2.474,2.532,4.112,4.539,0.484,2.178,3.995,3.77,0.7,2.866,3.003,5.477,4.347,1.187,2.049,0.813,4.501,1.382,4.502,1.124,1.772,1.155,1.318,1.799,3.704,0.841,0.45,2.415,1.294,3.917,0.006,2.638
21,KY,CON_hi_ae,CON,ae,hi,717.93,5,5.338,4.798,3.701,4.465,6.351,2.426,2.063,4.865,3.328,1.063,1.905,2.488,2.5,1.688,3.077,6.526,5.546,3.639,4.121,2.016,2.632,3.743,0.939,1.803,0.364,0.735,1.38,1.697,3.341,1.522,0.644,1.833,2.84,2.932,0.869,0.45,0.372
22,LA,CON_lo_ae,CON,ae,lo,508.41,5,5.453,0.974,2.768,6.319,3.896,4.261,4.234,7.454,0.273,0.578,4.578,2.841,0.738,1.516,3.71,5.319,5.932,2.098,2.804,3.426,1.306,1.104,0.639,0.901,0.837,2.41,1.289,3.981,2.904,1.212,1.937,0.921,2.882,5.446,1.456,0.199,1.403
23,ME,SD_hi_so,SD,so,hi,243.16,5,3.324,3.065,4.284,2.9,1.072,3.968,2.903,7.655,1.87,2.522,1.702,2.396,3.54,4.538,2.6,3.655,2.562,6.417,1.637,1.237,4.599,0.243,4.247,0.749,0.086,0.908,6.067,3.669,2.614,4.434,1.316,0.234,1.225,0.023,1.634,0.871,3.235
24,MD,SD_hi_so,SD,so,hi,782.14,5,3.104,3.837,2.071,1.727,3.617,2.444,1.8,9.368,0.81,1.604,3.876,3.517,3.884,4.141,3.041,2.352,1.624,10.269,2.172,3.544,1.073,0.992,1.72,2.462,3.086,1.797,4.134,1.953,1.946,2.516,0.914,0.19,2.793,0.211,2.071,1.121,2.219
25,MA,SD_lo_ae,SD,ae,lo,790.97,5,1.957,3.491,4.009,4.304,2.298,3.99,1.789,4.301,4.238,2.527,4.999,4.299,4.314,4.741,2.011,1.117,1.768,9.58,1.672,4.115,3.116,1.403,2.655,2.378,1.926,1.933,2.916,3.452,2.065,1.204,1.177,2.019,1.012,0.282,0.639,0.296,0.009
26,MI,CON_lo_pc,CON,pc,lo,1329.58,5,5.906,2.983,3.775,2.957,4.569,3.981,2.188,4.849,1.855,0.792,5.935,3.269,2.15,3.403,4.945,4.028,4.281,5.466,1.998,2.905,1.997,3.036,2.199,2.419,1.542,0.988,1.332,3.167,2.172,0.942,1.11,1.535,1.028,1.52,0.874,1.585,0.317
27,MN,SD_lo_so,SD,so,lo,714.01,5,3.926,4.062,2.337,3.168,4.791,3.768,1.774,6.177,1.895,0.353,2.06,4.077,4.063,3.879,2.237,2.498,3.16,10.032,1.254,4.438,1.654,2.259,1.366,3.932,2.042,0.978,3.385,1.614,1.959,4.949,0.901,0.228,2.096,0.454,0.343,0.122,1.77
28,MS,SD_hi_so,SD,so,hi,444.25,5,5.615,5.313,4.724,3.836,5.302,1.667,3.982,6.854,2.936,2.172,0.359,0.205,2.04,0.517,1.994,2.001,3.746,3.358,1.909,3.405,2.849,1.458,0.547,1.616,1.523,0.741,2.118,2.496,0.635,0.7,0.31,6.208,8.324,2.313,3.357,1.4,1.468
29,MO,CON_lo_ae,CON,ae,lo,950.73,5,3.442,2.888,5.089,4.435,3.345,2.919,4.014,4.15,2.027,2.556,2.645,2.936,1.182,0.981,2.643,4.05,7.649,5.971,1.265,0.988,2.342,1.005,1.386,1.348,0.859,1.447,3.105,2.321,1.66,2.915,2.247,2.416,0.168,4.688,3.552,2.518,0.849
30,MT,SD_lo_pc,SD,pc,lo,257.38,5,3.523,4.662,5.961,2.833,0.837,1.478,3.692,1.815,1.328,3.349,1.41,1.529,2.226,3.629,9.686,1.883,12.031,3.869,0.353,0.192,2.08,1.056,0.797,1.855,2.905,1.453,5.824,1.37,4.256,1.451,0.0,3.307,0.155,4.306,0.986,1.18,0.736
