state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_NAT,inc_CON,inc_OAO,inc_POP,inc_STY,inc_LBR,inc_CUP,inc_LIB,inc_DSA,inc_PRG
28,MS,POP_1,POP,8.51,0.64,0.75,0.0,0.0,7.28,0.0,9.77,0.0,0.0,0.0
28,MS,STY_1,STY,23.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,CON_1,CON,23.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MO,CUP_1,CUP,7.57,0.0,2.37,1.68,7.91,0.0,0.0,0.0,1.89,0.0,0.0
29,MO,LBR_1,LBR,12.94,0.0,0.0,0.75,0.0,0.0,0.0,0.0,10.55,7.6,0.0
29,MO,NAT_1,NAT,11.76,0.0,1.45,0.0,3.31,0.0,0.0,1.38,0.0,0.0,0.0
29,MO,STY_1,STY,12.71,0.0,0.86,0.0,0.0,0.0,4.08,0.0,0.0,0.7,0.0
30,MT,CON_1,CON,16.18,3.43,0.0,0.0,0.0,0.0,0.0,4.19,0.0,0.0,0.0
30,MT,LBR_1,LBR,12.36,0.0,0.0,0.0,0.0,0.0,0.0,2.73,1.09,4.07,0.0
30,MT,LIB_1,LIB,13.77,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,3.88
30,MT,NAT_1,NAT,21.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,MT,STY_1,STY,10.44,0.0,0.0,0.0,6.74,0.0,0.6,3.49,0.0,1.06,0.0
31,NE,CON_1,CON,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,CUP_1,CUP,13.51,1.83,0.53,1.21,0.62,0.0,0.0,0.0,3.62,0.0,0.0
31,NE,LBR_1,LBR,14.55,0.0,0.0,0.88,0.0,0.0,0.0,0.0,9.23,6.09,0.0
31,NE,POP_1,POP,10.13,8.1,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,NE,STY_1,STY,10.08,0.0,0.0,0.86,1.19,0.0,3.85,0.0,0.0,1.46,0.0
32,NV,CON_1,CON,20.68,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0
32,NV,LBR_1,LBR,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0
32,NV,LIB_1,LIB,9.92,0.0,0.0,2.8,0.0,0.0,0.0,0.99,0.0,0.0,6.75
32,NV,NAT_1,NAT,10.83,0.0,0.0,0.0,8.17,0.0,0.0,0.0,0.0,0.0,0.0
32,NV,STY_1,STY,11.75,0.0,0.6,0.6,0.0,0.0,0.0,1.48,0.0,4.02,0.0
33,NH,CON_1,CON,12.04,2.68,0.0,0.0,0.92,0.0,0.0,3.29,0.0,0.0,0.0
33,NH,DSA_1,DSA,11.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.97
33,NH,LBR_1,LBR,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,NH,LIB_1,LIB,9.53,0.0,0.0,15.32,0.0,0.0,0.0,1.2,0.0,1.24,3.61
33,NH,POP_1,POP,6.21,3.87,0.0,0.0,0.0,2.96,0.0,5.31,0.0,0.0,0.0
34,NJ,CON_1,CON,17.95,9.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,NJ,CUP_1,CUP,6.91,0.0,0.0,2.84,0.0,0.73,0.0,0.0,9.14,0.0,0.0
34,NJ,LBR_1,LBR,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0
34,NJ,LIB_1,LIB,13.17,0.0,0.0,2.84,0.0,0.0,0.0,0.0,0.0,0.0,9.43
34,NJ,STY_1,STY,7.84,1.22,0.0,1.67,6.71,0.0,1.65,0.0,0.0,0.0,0.0
35,NM,CON_1,CON,17.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,CUP_1,CUP,12.25,1.31,0.0,1.61,2.09,1.03,0.0,0.0,0.0,0.0,0.0
35,NM,LBR_1,LBR,22.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,NM,LIB_1,LIB,8.87,0.0,0.0,0.93,0.0,0.0,15.44,0.0,0.0,0.0,6.69
35,NM,STY_1,STY,12.33,6.61,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
36,NY,CON_1,CON,15.48,4.64,0.0,0.0,5.06,0.0,0.0,0.0,0.0,0.0,0.0
36,NY,CUP_1,CUP,7.9,0.0,0.96,5.31,0.0,0.8,0.0,0.0,1.69,0.0,0.0
36,NY,LBR_1,LBR,15.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.19,0.0
36,NY,LIB_1,LIB,11.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.56
36,NY,STY_1,STY,9.09,0.0,0.0,3.91,6.19,0.0,2.96,0.0,2.19,1.31,0.0
37,NC,CON_1,CON,22.34,8.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,NC,LBR_1,LBR,11.17,0.0,0.0,2.65,0.0,0.0,0.0,0.0,0.0,4.08,0.0
37,NC,LIB_1,LIB,8.13,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,6.96
37,NC,POP_1,POP,10.19,3.15,2.3,0.0,0.0,5.59,0.0,2.26,0.0,0.0,0.0
37,NC,STY_1,STY,10.29,0.0,0.62,0.64,0.0,0.0,1.08,8.85,0.0,0.72,0.0
38,ND,CON_1,CON,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,ND,CUP_1,CUP,13.96,0.0,0.0,2.02,0.0,2.99,0.0,0.0,0.0,0.0,0.0
38,ND,LBR_1,LBR,15.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44,0.0
38,ND,LIB_1,LIB,8.52,0.0,12.66,2.57,0.0,0.0,0.0,0.0,0.0,0.0,4.69
38,ND,POP_1,POP,14.7,0.0,0.0,0.0,0.0,2.69,0.0,0.86,0.0,0.0,0.0
39,OH,CON_1,CON,23.33,11.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,OH,CUP_1,CUP,10.55,0.0,3.19,2.53,1.57,2.91,0.0,0.0,0.0,0.0,0.0
39,OH,LBR_1,LBR,11.3,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,4.48,0.0
39,OH,LIB_1,LIB,9.2,0.0,0.0,0.91,0.0,0.0,0.0,2.62,0.0,1.11,2.95
39,OH,STY_1,STY,9.45,0.0,1.44,0.0,8.79,0.0,0.0,0.0,0.0,0.94,0.0
40,OK,CON_1,CON,23.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,CUP_1,CUP,10.7,0.0,3.14,3.8,0.0,0.0,0.0,0.0,8.85,0.0,0.0
40,OK,NAT_1,NAT,16.57,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,POP_1,POP,9.34,0.63,2.57,0.0,0.0,4.45,0.0,0.0,0.0,0.0,0.0
