respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20,rank_21,rank_22,rank_23,rank_24,rank_25
14180,LIB_dsa,CO,MW,LIB_sd,SD_lib,JR,SD_sty,STY_ctr,LK,CTR_con,CTR_sty,STY_sd,DSA_lib,PRG_dsa,ZN,DSA_prg,MRJ,CON_ctr,RH,CON_ref,REF_con,DH,REF_nat,NAT_ref,BE
14181,CON_ref,NAT_ref,REF_con,DH,REF_nat,RH,BE,CON_ctr,CTR_sty,STY_sd,CTR_con,MRJ,STY_ctr,LK,SD_sty,MW,SD_lib,DSA_prg,LIB_dsa,LIB_sd,ZN,PRG_dsa,DSA_lib,JR,CO
14182,CTR_con,CTR_sty,LK,RH,CON_ctr,CON_ref,SD_sty,STY_ctr,LIB_sd,REF_con,SD_lib,STY_sd,MW,MRJ,REF_nat,DH,CO,LIB_dsa,NAT_ref,BE,DSA_lib,DSA_prg,JR,PRG_dsa,ZN
14183,MW,CO,LIB_dsa,MRJ,SD_lib,LIB_sd,SD_sty,PRG_dsa,DSA_lib,STY_sd,DSA_prg,LK,ZN,STY_ctr,JR,CTR_sty,CTR_con,RH,CON_ctr,CON_ref,REF_nat,BE,NAT_ref,REF_con,DH
14184,ZN,DSA_lib,DSA_prg,PRG_dsa,SD_sty,LIB_dsa,MRJ,STY_ctr,MW,SD_lib,STY_sd,JR,LIB_sd,CO,CTR_sty,LK,CTR_con,NAT_ref,DH,RH,CON_ctr,REF_con,REF_nat,BE,CON_ref
14185,LIB_sd,CO,SD_lib,LIB_dsa,DSA_prg,JR,DSA_lib,PRG_dsa,ZN,MW,SD_sty,MRJ,STY_ctr,STY_sd,CTR_sty,LK,CTR_con,RH,CON_ctr,CON_ref,REF_nat,DH,NAT_ref,REF_con,BE
14186,LK,CTR_sty,CTR_con,RH,CON_ctr,SD_lib,STY_ctr,STY_sd,CON_ref,MW,MRJ,SD_sty,REF_con,CO,LIB_sd,DH,REF_nat,LIB_dsa,DSA_prg,ZN,DSA_lib,PRG_dsa,BE,NAT_ref,JR
14187,CO,LIB_sd,LIB_dsa,SD_lib,MW,PRG_dsa,SD_sty,JR,DSA_prg,DSA_lib,LK,CTR_sty,CTR_con,ZN,STY_ctr,STY_sd,MRJ,CON_ctr,RH,CON_ref,BE,REF_con,NAT_ref,REF_nat,DH
14188,SD_lib,SD_sty,LIB_sd,LIB_dsa,CTR_sty,STY_sd,STY_ctr,MRJ,MW,CO,CTR_con,LK,DSA_lib,CON_ctr,PRG_dsa,DSA_prg,RH,JR,CON_ref,ZN,DH,REF_con,REF_nat,BE,NAT_ref
14189,JR,PRG_dsa,LIB_dsa,DSA_lib,LIB_sd,ZN,CO,DSA_prg,SD_lib,SD_sty,MW,STY_sd,STY_ctr,MRJ,CTR_sty,LK,CON_ctr,CTR_con,BE,DH,REF_con,RH,CON_ref,REF_nat,NAT_ref
14190,CTR_con,CTR_sty,LK,LIB_dsa,CO,LIB_sd,SD_lib,MW,SD_sty,CON_ctr,MRJ,STY_ctr,PRG_dsa,STY_sd,CON_ref,RH,DSA_lib,JR,REF_con,DSA_prg,DH,ZN,REF_nat,NAT_ref,BE
14191,LIB_dsa,SD_lib,LIB_sd,CO,MW,CTR_sty,SD_sty,LK,CTR_con,STY_sd,PRG_dsa,JR,MRJ,STY_ctr,CON_ctr,DSA_lib,RH,ZN,DSA_prg,CON_ref,REF_con,NAT_ref,DH,REF_nat,BE
14192,CO,DSA_lib,DSA_prg,LIB_dsa,ZN,JR,PRG_dsa,SD_sty,LIB_sd,STY_sd,MW,MRJ,SD_lib,STY_ctr,CTR_sty,CTR_con,LK,CON_ctr,DH,BE,CON_ref,NAT_ref,REF_con,RH,REF_nat
14193,BE,CON_ref,NAT_ref,CON_ctr,RH,LK,REF_con,CTR_con,REF_nat,CTR_sty,DH,STY_ctr,MRJ,STY_sd,MW,LIB_dsa,DSA_lib,SD_sty,ZN,DSA_prg,PRG_dsa,SD_lib,JR,CO,LIB_sd
14194,RH,BE,CON_ref,REF_con,NAT_ref,DH,REF_nat,CON_ctr,CTR_con,CTR_sty,LK,STY_ctr,MRJ,STY_sd,SD_sty,SD_lib,MW,JR,ZN,DSA_prg,LIB_sd,DSA_lib,PRG_dsa,CO,LIB_dsa
14195,CTR_con,LK,RH,CON_ctr,CON_ref,CTR_sty,REF_con,STY_ctr,DH,MRJ,NAT_ref,REF_nat,STY_sd,SD_sty,BE,CO,MW,LIB_sd,SD_lib,LIB_dsa,JR,PRG_dsa,DSA_lib,DSA_prg,ZN
14196,DH,BE,CON_ref,REF_con,NAT_ref,REF_nat,CON_ctr,RH,CTR_con,LK,CTR_sty,STY_ctr,MRJ,STY_sd,SD_sty,MW,SD_lib,DSA_lib,LIB_sd,DSA_prg,LIB_dsa,ZN,PRG_dsa,CO,JR
14197,CON_ctr,CTR_sty,CTR_con,LK,LIB_sd,MW,CO,SD_lib,SD_sty,LIB_dsa,CON_ref,RH,STY_ctr,STY_sd,MRJ,REF_con,JR,DSA_lib,PRG_dsa,NAT_ref,BE,DH,REF_nat,DSA_prg,ZN
14198,PRG_dsa,JR,MRJ,LIB_dsa,DSA_prg,CO,SD_sty,DSA_lib,ZN,LIB_sd,MW,SD_lib,STY_ctr,STY_sd,CTR_sty,CTR_con,LK,CON_ctr,REF_con,BE,NAT_ref,REF_nat,RH,DH,CON_ref
14199,MRJ,STY_sd,SD_sty,MW,STY_ctr,CTR_sty,CON_ctr,SD_lib,CTR_con,LIB_dsa,CON_ref,LIB_sd,CO,LK,RH,ZN,DSA_lib,REF_con,DSA_prg,DH,PRG_dsa,JR,REF_nat,BE,NAT_ref
14200,LIB_sd,MW,CO,LIB_dsa,CTR_sty,STY_sd,SD_lib,SD_sty,PRG_dsa,LK,JR,CTR_con,STY_ctr,DSA_prg,DSA_lib,MRJ,ZN,CON_ctr,CON_ref,RH,REF_nat,REF_con,DH,BE,NAT_ref
14201,LIB_dsa,CO,LIB_sd,DSA_lib,PRG_dsa,MW,SD_lib,JR,SD_sty,ZN,DSA_prg,STY_sd,CTR_sty,CTR_con,MRJ,STY_ctr,LK,CON_ctr,NAT_ref,DH,RH,REF_nat,BE,REF_con,CON_ref
14202,PRG_dsa,CO,SD_lib,LIB_sd,LIB_dsa,SD_sty,DSA_prg,JR,MW,MRJ,DSA_lib,ZN,STY_sd,STY_ctr,CTR_sty,LK,CTR_con,CON_ref,CON_ctr,RH,DH,NAT_ref,REF_con,REF_nat,BE
14203,LIB_sd,PRG_dsa,LIB_dsa,JR,DSA_lib,CO,SD_lib,DSA_prg,SD_sty,MW,ZN,STY_ctr,STY_sd,MRJ,CTR_sty,CTR_con,LK,CON_ctr,RH,REF_nat,CON_ref,NAT_ref,REF_con,BE,DH
14204,CTR_con,CTR_sty,CON_ctr,LK,RH,CON_ref,SD_lib,STY_ctr,MW,LIB_sd,CO,SD_sty,LIB_dsa,STY_sd,MRJ,REF_con,DH,REF_nat,BE,NAT_ref,JR,PRG_dsa,DSA_lib,DSA_prg,ZN
14205,RH,CTR_con,CON_ref,LK,REF_con,CON_ctr,CTR_sty,REF_nat,MRJ,DH,NAT_ref,STY_ctr,BE,STY_sd,MW,SD_sty,SD_lib,LIB_sd,CO,LIB_dsa,DSA_lib,PRG_dsa,ZN,DSA_prg,JR
14206,BE,NAT_ref,REF_nat,DH,REF_con,CON_ref,CON_ctr,RH,CTR_con,LK,CTR_sty,STY_ctr,LIB_dsa,MW,SD_sty,DSA_prg,JR,SD_lib,MRJ,STY_sd,DSA_lib,PRG_dsa,LIB_sd,CO,ZN
14207,PRG_dsa,JR,LIB_dsa,LIB_sd,CO,DSA_prg,ZN,SD_lib,DSA_lib,MW,SD_sty,CTR_sty,MRJ,STY_ctr,STY_sd,LK,CTR_con,CON_ctr,RH,CON_ref,BE,REF_nat,REF_con,NAT_ref,DH
14208,LK,CTR_con,CTR_sty,CON_ctr,LIB_sd,CON_ref,SD_sty,RH,CO,MW,SD_lib,STY_ctr,LIB_dsa,MRJ,STY_sd,DH,REF_con,REF_nat,PRG_dsa,DSA_lib,JR,NAT_ref,DSA_prg,ZN,BE
14209,CON_ctr,RH,CTR_con,CON_ref,LK,CTR_sty,REF_con,NAT_ref,REF_nat,DH,MW,BE,STY_ctr,SD_sty,SD_lib,LIB_sd,STY_sd,MRJ,CO,JR,LIB_dsa,DSA_prg,PRG_dsa,DSA_lib,ZN
14210,SD_sty,ZN,DSA_prg,PRG_dsa,DSA_lib,SD_lib,LIB_sd,MRJ,JR,MW,LIB_dsa,STY_sd,CO,STY_ctr,CTR_sty,LK,CTR_con,CON_ctr,RH,CON_ref,DH,REF_con,REF_nat,NAT_ref,BE
14211,CO,LIB_sd,MW,LIB_dsa,PRG_dsa,STY_sd,DSA_prg,SD_lib,SD_sty,DSA_lib,LK,CTR_sty,JR,ZN,STY_ctr,MRJ,CTR_con,CON_ctr,RH,CON_ref,REF_nat,NAT_ref,BE,REF_con,DH
14212,LK,CTR_con,CTR_sty,CON_ctr,CON_ref,RH,STY_ctr,STY_sd,SD_lib,MW,MRJ,SD_sty,REF_con,LIB_sd,REF_nat,DH,CO,BE,LIB_dsa,NAT_ref,DSA_lib,PRG_dsa,DSA_prg,ZN,JR
14213,REF_nat,BE,REF_con,NAT_ref,DH,CON_ref,RH,MRJ,CON_ctr,STY_ctr,STY_sd,DSA_prg,LIB_dsa,DSA_lib,CO,CTR_con,PRG_dsa,JR,CTR_sty,LK,SD_lib,ZN,LIB_sd,MW,SD_sty
14214,LK,MW,CTR_sty,CON_ctr,RH,CTR_con,STY_sd,STY_ctr,SD_sty,SD_lib,LIB_sd,CO,MRJ,CON_ref,LIB_dsa,NAT_ref,REF_con,DSA_lib,JR,DSA_prg,DH,PRG_dsa,REF_nat,ZN,BE
14215,LK,CTR_sty,MW,CTR_con,CON_ctr,SD_lib,RH,SD_sty,CO,LIB_dsa,LIB_sd,STY_ctr,CON_ref,STY_sd,MRJ,REF_con,JR,PRG_dsa,DSA_lib,REF_nat,DH,DSA_prg,ZN,BE,NAT_ref
14216,LIB_dsa,PRG_dsa,CO,SD_lib,LIB_sd,DSA_lib,JR,MW,SD_sty,DSA_prg,ZN,STY_sd,CTR_sty,STY_ctr,MRJ,CTR_con,LK,CON_ctr,RH,CON_ref,NAT_ref,BE,REF_nat,REF_con,DH
14217,RH,CON_ref,CON_ctr,CTR_con,DH,REF_con,CTR_sty,LK,REF_nat,SD_sty,MRJ,NAT_ref,STY_ctr,STY_sd,BE,MW,SD_lib,LIB_sd,CO,LIB_dsa,DSA_lib,JR,DSA_prg,PRG_dsa,ZN
14218,LIB_dsa,LIB_sd,SD_sty,SD_lib,MW,CO,DSA_lib,JR,DSA_prg,ZN,PRG_dsa,STY_sd,STY_ctr,MRJ,CTR_sty,CTR_con,LK,CON_ctr,RH,CON_ref,DH,REF_con,REF_nat,NAT_ref,BE
14219,CTR_sty,LIB_sd,SD_lib,LIB_dsa,MW,SD_sty,LK,CO,CTR_con,STY_sd,CON_ctr,STY_ctr,RH,MRJ,CON_ref,DSA_prg,DSA_lib,PRG_dsa,JR,ZN,REF_con,DH,NAT_ref,REF_nat,BE
14220,MW,CTR_sty,MRJ,STY_sd,STY_ctr,SD_sty,CO,SD_lib,RH,CON_ref,CTR_con,CON_ctr,LIB_dsa,REF_con,LIB_sd,LK,DH,DSA_lib,REF_nat,DSA_prg,ZN,JR,PRG_dsa,NAT_ref,BE
14221,SD_sty,PRG_dsa,MW,LIB_sd,CO,LIB_dsa,STY_sd,STY_ctr,SD_lib,CTR_sty,MRJ,LK,DSA_lib,CTR_con,DSA_prg,CON_ctr,JR,ZN,RH,CON_ref,REF_con,DH,REF_nat,BE,NAT_ref
14222,CO,SD_lib,LIB_dsa,SD_sty,LIB_sd,MW,STY_ctr,JR,DSA_lib,LK,CTR_sty,STY_sd,PRG_dsa,DSA_prg,MRJ,ZN,CTR_con,CON_ctr,RH,CON_ref,REF_con,NAT_ref,DH,BE,REF_nat
14223,LIB_dsa,LIB_sd,CO,MW,SD_sty,SD_lib,LK,PRG_dsa,CTR_sty,JR,CTR_con,STY_sd,DSA_lib,DSA_prg,MRJ,STY_ctr,ZN,CON_ctr,RH,CON_ref,REF_con,DH,REF_nat,NAT_ref,BE
14224,NAT_ref,RH,CON_ref,REF_con,BE,LK,CON_ctr,REF_nat,DH,CTR_con,CTR_sty,STY_ctr,STY_sd,MRJ,SD_sty,SD_lib,PRG_dsa,MW,JR,LIB_dsa,DSA_prg,DSA_lib,LIB_sd,CO,ZN
14225,CON_ref,CON_ctr,REF_con,REF_nat,RH,DH,NAT_ref,BE,STY_ctr,CTR_sty,CTR_con,LK,STY_sd,MRJ,SD_lib,SD_sty,MW,LIB_sd,CO,LIB_dsa,DSA_lib,ZN,PRG_dsa,JR,DSA_prg
14226,LIB_dsa,CO,SD_lib,LIB_sd,SD_sty,MW,JR,PRG_dsa,CTR_con,DSA_lib,LK,ZN,STY_sd,DSA_prg,CTR_sty,STY_ctr,MRJ,CON_ctr,RH,CON_ref,NAT_ref,BE,DH,REF_nat,REF_con
