respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9
295,MW,MRJ,RH,LK,CO,ZN,DH,JR,BE
296,JR,ZN,CO,MW,MRJ,LK,BE,RH,DH
297,MW,MRJ,CO,ZN,LK,JR,RH,DH,BE
298,CO,MW,JR,LK,ZN,MRJ,RH,BE,DH
299,RH,DH,BE,MRJ,LK,MW,CO,JR,ZN
300,DH,BE,RH,LK,MRJ,MW,JR,ZN,CO
301,ZN,MRJ,MW,JR,CO,LK,DH,BE,RH
302,CO,JR,LK,MW,ZN,MRJ,RH,DH,BE
303,ZN,MRJ,MW,JR,CO,LK,DH,RH,BE
304,JR,MW,CO,ZN,MRJ,LK,BE,RH,DH
305,CO,JR,MW,LK,ZN,MRJ,RH,BE,DH
306,MW,MRJ,ZN,DH,CO,LK,JR,RH,BE
307,MRJ,CO,LK,MW,ZN,DH,RH,JR,BE
308,RH,MW,LK,MRJ,CO,DH,BE,ZN,JR
309,DH,RH,MRJ,LK,BE,MW,CO,ZN,JR
310,BE,DH,RH,MRJ,LK,MW,ZN,CO,JR
311,BE,DH,RH,LK,MRJ,MW,CO,ZN,JR
312,JR,ZN,CO,MW,MRJ,LK,BE,DH,RH
313,JR,ZN,MW,CO,MRJ,LK,BE,RH,DH
314,BE,DH,CO,MRJ,RH,LK,ZN,JR,MW
315,JR,CO,MW,LK,ZN,MRJ,RH,DH,BE
316,LK,MW,CO,RH,MRJ,DH,ZN,JR,BE
317,MW,CO,JR,LK,ZN,MRJ,RH,DH,BE
318,ZN,MW,JR,MRJ,CO,LK,RH,DH,BE
319,LK,RH,MW,MRJ,CO,DH,JR,ZN,BE
320,JR,MW,ZN,CO,MRJ,LK,DH,RH,BE
321,ZN,MW,MRJ,JR,CO,LK,DH,RH,BE
322,MW,MRJ,RH,LK,CO,ZN,DH,JR,BE
323,DH,BE,RH,MRJ,JR,LK,ZN,MW,CO
324,LK,RH,MW,CO,MRJ,DH,JR,BE,ZN
325,JR,ZN,CO,MW,MRJ,LK,BE,RH,DH
326,MRJ,DH,LK,MW,CO,JR,BE,ZN,RH
327,ZN,MRJ,MW,JR,CO,RH,LK,DH,BE
328,CO,MW,LK,JR,MRJ,RH,ZN,DH,BE
329,RH,BE,DH,MRJ,LK,MW,CO,ZN,JR
330,MW,CO,LK,MRJ,JR,RH,ZN,DH,BE
331,RH,LK,DH,BE,MRJ,MW,CO,ZN,JR
332,DH,BE,RH,LK,MRJ,MW,CO,JR,ZN
333,JR,CO,MW,ZN,MRJ,LK,RH,DH,BE
334,RH,DH,MRJ,LK,MW,BE,CO,ZN,JR
335,RH,DH,BE,LK,MRJ,MW,JR,CO,ZN
336,JR,CO,MW,LK,ZN,MRJ,RH,DH,BE
337,BE,RH,LK,DH,MW,MRJ,JR,CO,ZN
338,CO,MW,LK,MRJ,JR,RH,ZN,DH,BE
339,MW,CO,JR,ZN,MRJ,LK,RH,DH,BE
340,MRJ,RH,DH,MW,LK,CO,BE,ZN,JR
341,CO,LK,MW,JR,MRJ,RH,ZN,DH,BE
342,CO,JR,MW,LK,ZN,MRJ,RH,BE,DH
343,CO,JR,MW,LK,ZN,MRJ,RH,BE,DH
344,MW,MRJ,CO,LK,RH,DH,ZN,JR,BE
345,CO,MW,JR,LK,ZN,MRJ,RH,DH,BE
346,JR,CO,MW,ZN,LK,MRJ,BE,RH,DH
347,DH,RH,BE,MRJ,LK,MW,JR,CO,ZN
348,JR,MW,ZN,CO,MRJ,LK,BE,DH,RH
349,MRJ,MW,ZN,JR,CO,RH,DH,LK,BE
350,CO,MW,JR,LK,MRJ,ZN,RH,BE,DH
351,LK,RH,MW,CO,MRJ,DH,ZN,JR,BE
352,DH,RH,BE,LK,MRJ,MW,ZN,JR,CO
353,LK,RH,MW,MRJ,CO,DH,JR,BE,ZN
354,JR,ZN,MW,CO,MRJ,LK,DH,RH,BE
355,JR,CO,MW,ZN,LK,MRJ,RH,BE,DH
356,LK,RH,DH,MW,MRJ,CO,BE,JR,ZN
357,RH,LK,DH,BE,MRJ,MW,CO,ZN,JR
358,DH,BE,RH,MRJ,LK,MW,CO,ZN,JR
359,BE,DH,RH,LK,MRJ,ZN,CO,JR,MW
360,BE,DH,RH,JR,LK,MW,MRJ,ZN,CO
361,RH,MRJ,LK,MW,DH,CO,ZN,BE,JR
362,CO,MW,LK,JR,MRJ,ZN,RH,DH,BE
363,MW,CO,MRJ,ZN,LK,JR,RH,DH,BE
364,RH,MW,DH,MRJ,LK,BE,CO,ZN,JR
365,ZN,JR,MRJ,MW,CO,LK,DH,RH,BE
366,RH,DH,MRJ,MW,LK,BE,CO,ZN,JR
367,LK,CO,RH,MW,MRJ,JR,DH,ZN,BE
368,LK,RH,MW,MRJ,CO,DH,JR,BE,ZN
369,LK,RH,CO,MW,MRJ,DH,JR,ZN,BE
370,LK,RH,MW,CO,MRJ,BE,DH,JR,ZN
371,DH,LK,RH,BE,MRJ,MW,CO,ZN,JR
372,CO,LK,MW,RH,JR,MRJ,DH,ZN,BE
373,CO,LK,MW,JR,MRJ,RH,ZN,BE,DH
374,RH,MRJ,DH,MW,LK,BE,CO,ZN,JR
375,JR,ZN,CO,MW,MRJ,LK,BE,RH,DH
376,MW,JR,ZN,MRJ,CO,LK,RH,DH,BE
377,DH,BE,MRJ,LK,MW,RH,JR,ZN,CO
378,MW,CO,JR,LK,MRJ,ZN,RH,DH,BE
379,DH,BE,RH,MRJ,LK,MW,JR,CO,ZN
380,JR,CO,ZN,MW,LK,MRJ,DH,BE,RH
381,ZN,JR,CO,MW,MRJ,LK,RH,DH,BE
382,LK,CO,MW,RH,JR,MRJ,DH,ZN,BE
383,DH,BE,RH,MRJ,LK,MW,ZN,CO,JR
384,LK,RH,DH,MRJ,BE,MW,CO,JR,ZN
385,RH,BE,LK,DH,MRJ,MW,CO,JR,ZN
386,BE,DH,RH,MRJ,LK,MW,ZN,JR,CO
387,MRJ,ZN,MW,JR,CO,LK,DH,RH,BE
388,ZN,MRJ,MW,CO,JR,LK,DH,BE,RH
389,MRJ,MW,CO,LK,RH,JR,ZN,DH,BE
390,DH,RH,MRJ,LK,BE,MW,CO,ZN,JR
391,MRJ,DH,BE,CO,ZN,RH,LK,MW,JR
392,RH,DH,BE,MRJ,LK,MW,CO,ZN,JR
393,DH,BE,RH,LK,MRJ,MW,CO,JR,ZN
394,CO,JR,ZN,MW,MRJ,LK,DH,BE,RH
395,JR,CO,MW,ZN,MRJ,LK,RH,DH,BE
396,DH,BE,RH,LK,MRJ,MW,CO,JR,ZN
397,BE,DH,RH,MRJ,MW,LK,JR,CO,ZN
398,LK,RH,MW,CO,DH,MRJ,JR,BE,ZN
399,LK,CO,MW,MRJ,RH,JR,DH,ZN,BE
400,CO,MW,LK,RH,MRJ,JR,ZN,BE,DH
401,JR,CO,MW,ZN,MRJ,LK,RH,BE,DH
402,MW,LK,CO,MRJ,JR,RH,ZN,DH,BE
403,CO,MW,MRJ,LK,JR,RH,ZN,DH,BE
404,MRJ,ZN,MW,RH,CO,BE,DH,LK,JR
405,JR,ZN,CO,MW,MRJ,LK,DH,RH,BE
406,MRJ,MW,RH,CO,LK,ZN,DH,JR,BE
407,RH,LK,DH,MRJ,MW,BE,CO,ZN,JR
408,MRJ,DH,RH,MW,LK,BE,ZN,CO,JR
409,ZN,MRJ,MW,JR,CO,LK,DH,RH,BE
410,CO,LK,MW,RH,JR,MRJ,DH,BE,ZN
411,JR,ZN,MW,CO,MRJ,LK,RH,DH,BE
