diagnostic,phase,candidate_code,candidate_name,party,axis,direction,raw_votes,vote_pct,status,variant_code,base_code,pod,variant_pct,base_pct,delta_vs_base,eliminated_code,eliminated_name,winnowing_point,transfer_type,dest_code,dest_name,transferred_votes,pct_of_eliminated_total,candidate_a,candidate_b,votes_a_beats_b,votes_b_beats_a,winner,margin,margin_pct,lock_order,locked,rp_winner_overall
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_A,surplus,CON_hi_pc,CON_hi_pc,27.2379,2.26,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_A,surplus,SD_hi_pc,SD_hi_pc,8.0902,0.67,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_A,surplus,SD_hi_ae,SD_hi_ae,7.1464,0.59,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_A,surplus,REF_lo_ae,REF_lo_ae,6.305,0.52,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_BD,surplus,CTR_lo_pc,CTR_lo_pc,79.5415,1.02,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_BD,surplus,REF_lo_ae,REF_lo_ae,47.2577,0.61,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_BD,surplus,NAT_lo_ae,NAT_lo_ae,20.0684,0.26,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_BD,surplus,SD_hi_ae,SD_hi_ae,7.8533,0.1,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_BD,surplus,SD_hi_pc,SD_hi_pc,6.8767,0.09,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_C,surplus,CON_lo_ae,CON_lo_ae,121.8584,4.86,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_C,surplus,REF_lo_ae,REF_lo_ae,15.0769,0.6,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_C,surplus,SD_hi_pc,SD_hi_pc,9.824,0.39,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_C,surplus,SD_hi_ae,SD_hi_ae,9.6986,0.39,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Pod_C,surplus,NAT_lo_ae,NAT_lo_ae,3.5309,0.14,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Retail_Six,surplus,CON_lo_ae,CON_lo_ae,3.398,2.0,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Retail_Six,surplus,CON_hi_pc,CON_hi_pc,2.3131,1.36,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Retail_Six,surplus,CTR_lo_pc,CTR_lo_pc,1.6145,0.95,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Retail_Six,surplus,CTR,CTR,0.5358,0.31,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CON_lo_pc,CON_lo_pc,After_Retail_Six,surplus,NAT_lo_ae,NAT_lo_ae,0.4118,0.24,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR,CTR,After_Retail_Six,elimination,CTR_lo_pc,CTR_lo_pc,153.7055,99.69,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR,CTR,After_Retail_Six,elimination,DSA,DSA,0.4736,0.31,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_hi_pc,CTR_hi_pc,After_Retail_Six,elimination,CTR,CTR,18.6831,23.34,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_hi_pc,CTR_hi_pc,After_Retail_Six,elimination,CON_lo_ae,CON_lo_ae,13.8908,17.36,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_hi_pc,CTR_hi_pc,After_Retail_Six,elimination,CTR_lo_pc,CTR_lo_pc,8.0276,10.03,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_hi_pc,CTR_hi_pc,After_Retail_Six,elimination,CON_lo_pc,CON_lo_pc,7.1401,8.92,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_hi_pc,CTR_hi_pc,After_Retail_Six,elimination,SD_hi_pc,SD_hi_pc,6.7549,8.44,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_A,surplus,CON_lo_pc,CON_lo_pc,119.5779,8.16,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_A,surplus,LIB_hi_pc,LIB_hi_pc,107.0948,7.31,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_A,surplus,CON_lo_ae,CON_lo_ae,48.8377,3.33,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_A,surplus,SD_hi_pc,SD_hi_pc,45.8494,3.13,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_A,surplus,SD_hi_ae,SD_hi_ae,31.2661,2.13,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_BD,surplus,PRG,PRG,1199.801,12.16,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_BD,surplus,REF_lo_ae,REF_lo_ae,994.7843,10.08,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_BD,surplus,NAT_lo_ae,NAT_lo_ae,65.1971,0.66,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_C,surplus,CON_lo_pc,CON_lo_pc,116.5306,4.28,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_C,surplus,LIB_hi_pc,LIB_hi_pc,105.0523,3.86,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_C,surplus,CON_lo_ae,CON_lo_ae,64.8834,2.38,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_C,surplus,SD_hi_pc,SD_hi_pc,54.2397,1.99,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,CTR_lo_pc,CTR_lo_pc,After_Pod_C,surplus,SD_hi_ae,SD_hi_ae,29.0807,1.07,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA,DSA,After_Pod_A,surplus,CON_lo_ae,CON_lo_ae,22.8238,2.01,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA,DSA,After_Pod_A,surplus,CON_hi_pc,CON_hi_pc,16.0673,1.42,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA,DSA,After_Pod_A,surplus,NAT_lo_ae,NAT_lo_ae,12.2334,1.08,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA,DSA,After_Pod_C,elimination,SD_hi_ae,SD_hi_ae,713.6266,45.64,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA,DSA,After_Pod_C,elimination,PRG,PRG,607.6191,38.86,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA,DSA,After_Pod_C,elimination,SD_hi_pc,SD_hi_pc,211.4889,13.53,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA,DSA,After_Pod_C,elimination,LIB_hi_pc,LIB_hi_pc,25.1016,1.61,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA,DSA,After_Pod_C,elimination,REF_lo_ae,REF_lo_ae,5.6345,0.36,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA_hi_ae,DSA_hi_ae,After_Retail_Six,elimination,DSA,DSA,11.2196,34.62,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA_hi_ae,DSA_hi_ae,After_Retail_Six,elimination,PRG,PRG,10.701,33.02,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA_hi_ae,DSA_hi_ae,After_Retail_Six,elimination,DSA_lo_ae,DSA_lo_ae,7.0905,21.88,,,,,,,,,,
transfer_analysis,,,,,,,,,,,,,,,,DSA_hi_ae,DSA_hi_ae,After_Retail_Six,elimination,STY_lo_so,STY_lo_so,1.266,3.91,,,,,,,,,,
