state_fips,state_abbr,senator_code,senator_party,senator_axis,senator_dir,total_weighted_respondents,n_finalists,fc_pct_CON,fc_pct_CON_hi_id,fc_pct_CON_hi_pc,fc_pct_CON_lo_id,fc_pct_CON_lo_pc,fc_pct_CUP,fc_pct_CUP_hi_pc,fc_pct_CUP_lo_pc,fc_pct_DSA,fc_pct_DSA_hi_id,fc_pct_DSA_lo_id,fc_pct_LBR,fc_pct_LBR_hi_id,fc_pct_LBR_hi_pc,fc_pct_LBR_hi_so,fc_pct_LBR_lo_id,fc_pct_LBR_lo_pc,fc_pct_LBR_lo_so,fc_pct_LIB,fc_pct_LIB_hi_pc,fc_pct_LIB_lo_pc,fc_pct_NAT,fc_pct_NAT_hi_id,fc_pct_NAT_lo_id,fc_pct_OAO,fc_pct_POP,fc_pct_POP_hi_id,fc_pct_POP_hi_pc,fc_pct_POP_lo_id,fc_pct_POP_lo_pc,fc_pct_PRG,fc_pct_STY,fc_pct_STY_hi_id,fc_pct_STY_hi_pc,fc_pct_STY_hi_so,fc_pct_STY_lo_id,fc_pct_STY_lo_pc,fc_pct_STY_lo_so
32,NV,LBR_lo_so,LBR,so,lo,474.37,5,0.221,7.493,6.252,1.689,7.608,0.097,3.008,2.474,0.0,2.593,3.079,0.0,4.73,0.814,1.345,3.702,3.488,5.464,2.654,4.318,1.895,0.184,6.942,2.692,4.21,0.0,4.603,0.854,0.733,2.527,5.612,0.361,2.065,0.955,0.47,2.396,0.379,2.093
33,NH,LBR_lo_id,LBR,id,lo,182.58,5,0.374,2.523,4.378,6.125,4.623,0.569,1.971,0.923,0.0,3.892,7.868,0.145,0.471,3.599,1.875,4.691,3.361,4.358,4.29,2.466,2.431,0.0,4.141,1.506,10.082,0.0,0.573,1.763,3.526,0.0,10.897,0.273,0.915,1.061,0.215,3.976,0.138,0.0
34,NJ,LBR_lo_so,LBR,so,lo,799.47,5,0.022,5.961,6.397,3.799,5.687,0.54,2.737,6.604,0.132,0.646,6.259,0.001,1.603,1.002,3.9,1.037,1.887,4.852,3.982,2.765,4.354,0.098,6.367,2.636,4.585,0.323,1.919,0.279,2.02,2.207,8.827,0.069,0.541,0.606,0.509,3.253,1.083,0.511
35,NM,LBR_lo_pc,LBR,pc,lo,271.94,5,0.0,4.44,7.259,4.303,5.268,0.0,1.438,5.909,0.0,0.483,4.87,0.0,0.904,3.159,7.431,2.261,5.248,3.504,2.112,3.007,3.838,0.193,5.286,1.673,2.734,0.0,1.004,1.918,0.319,5.024,6.648,0.033,0.684,2.263,0.609,0.895,2.928,2.355
36,NY,LBR_lo_so,LBR,so,lo,1567.39,5,0.122,4.502,3.502,4.093,7.263,0.228,2.648,6.419,0.171,3.246,4.096,0.113,3.294,0.54,4.685,3.62,1.37,3.58,2.806,2.801,4.212,0.234,4.198,2.92,4.052,0.059,2.028,1.807,2.923,0.78,8.598,0.025,1.661,1.805,1.017,2.824,1.15,0.61
37,NC,STY_lo_id,STY,id,lo,982.74,5,0.671,4.599,8.059,5.729,8.752,0.311,2.631,3.167,0.003,2.785,2.695,0.0,1.967,0.66,4.288,1.767,1.622,2.565,2.115,1.492,3.49,0.933,4.345,5.368,4.675,0.0,4.182,1.094,2.695,1.459,7.414,0.066,1.582,0.773,0.604,2.823,1.146,1.472
38,ND,LBR_lo_pc,LBR,pc,lo,74.54,5,0.0,12.918,9.052,1.98,1.972,0.0,10.893,7.155,0.0,0.0,2.866,0.0,1.055,0.249,2.931,0.828,8.25,2.458,1.938,3.62,0.574,0.0,0.0,2.733,5.029,0.724,0.543,0.0,11.024,0.171,4.848,0.0,0.236,1.152,0.0,4.584,0.0,0.217
39,OH,CON_lo_id,CON,id,lo,1159.02,5,0.074,5.102,7.451,9.578,5.772,0.266,4.121,4.661,0.157,2.09,4.119,0.015,3.219,0.759,2.605,1.635,1.663,2.312,2.616,2.342,2.558,0.536,1.96,8.611,3.566,0.087,1.64,1.846,2.569,2.797,4.079,0.152,1.791,1.804,0.639,3.119,1.51,0.18
40,OK,STY_lo_id,STY,id,lo,408.13,5,0.701,3.816,12.523,6.552,5.276,0.06,4.184,4.061,0.0,3.885,2.483,0.0,2.231,0.043,0.882,2.587,1.34,1.857,2.077,5.403,0.751,0.0,2.188,10.639,5.434,0.0,0.675,2.79,3.876,4.649,1.764,0.0,1.433,1.604,0.067,2.909,1.177,0.087
41,OR,LBR_lo_so,LBR,so,lo,612.72,5,0.122,5.058,4.298,2.31,3.459,0.391,2.567,1.51,0.126,3.347,5.94,0.0,2.699,1.324,2.077,2.828,1.449,4.783,3.043,4.378,5.657,0.203,10.381,3.522,2.526,0.0,3.233,0.978,1.532,0.82,15.45,0.127,0.381,0.328,1.12,0.798,0.652,0.583
