code,year,in_letter,out_warmth,n_sup,party_lr,vote_share,extremeness,bloc,fptp,tier,micro
CZE,2013,6,3.508150616719949,44.0,4.841677943166441,6.78,0.15832205683355927,center,0.0,True,0
CZE,2017,0,3.1681586274767826,263.0,6.5109717868338555,29.639999999999993,1.5109717868338555,right,0.0,True,0
CZE,2017,1,3.2873608965362977,91.0,8.268801191362622,11.319999999999999,3.2688011913626216,right,0.0,True,0
CZE,2017,2,3.1449643500432787,116.0,6.151598173515982,10.799999999999999,1.151598173515982,right,0.0,True,0
CZE,2017,3,3.2119980094369907,64.0,5.889699179580674,10.64,0.8896991795806741,center,0.0,True,0
CZE,2017,4,2.8958436816092186,78.0,1.355783308931186,7.769999999999997,3.644216691068814,left,0.0,True,0
CZE,2017,5,3.6381688653233866,80.0,3.1479289940828403,7.279999999999999,1.8520710059171597,left,0.0,True,0
CZE,2017,6,3.0313292923690343,45.0,5.153069153069153,5.799999999999999,0.15306915306915325,center,0.0,True,0
CZE,2021,1,2.5948965361972554,220.0,5.295317110033847,27.13,0.29531711003384675,center,0.0,True,0
CZE,2021,3,2.975335065567501,68.0,5.678437130511579,9.56,0.6784371305115791,center,0.0,True,0
CZE,2021,4,3.80105537395687,60.0,3.0445694837116077,4.659999999999999,1.9554305162883923,left,0.0,True,0
CZE,2021,5,2.5865120311394825,50.0,7.950558502518776,3.6100000000000003,2.950558502518776,right,0.0,True,0
CZE,2021,8,3.5794076335475435,37.0,6.688569729539248,,1.6885697295392479,right,0.0,True,0
DEU,1998,0,3.4336664327393818,500.0,3.3732270461816336,43.899999999999984,1.6267729538183664,left,0.0,True,0
DEU,1998,1,4.2129894262473515,277.0,5.828673336320737,32.199999999999996,0.8286733363207368,center,0.0,True,0
DEU,1998,2,4.777915226345108,38.0,6.355572493058759,7.299999999999998,1.3555724930587587,right,0.0,True,0
DEU,1998,3,4.507429157619762,106.0,2.8337623117998727,4.9,2.1662376882001273,left,0.0,True,0
DEU,1998,4,5.025394868244756,42.0,4.963991620058089,4.899999999999999,0.03600837994191064,center,0.0,True,0
DEU,1998,5,4.012181031682428,118.0,2.3148418110682836,5.1000000000000005,2.6851581889317164,left,0.0,True,0
DEU,2002,0,3.5469237931691406,809.0,3.3777913077703707,38.5,1.6222086922296293,left,0.0,True,0
DEU,2002,1,3.951385298337294,701.0,6.187750042151253,29.5,1.1877500421512526,right,0.0,True,0
DEU,2002,2,4.4817456525501935,66.0,6.730706868884397,9.0,1.730706868884397,right,0.0,True,0
DEU,2002,3,4.404480274716544,254.0,2.943146370242982,8.6,2.056853629757018,left,0.0,True,0
