district_id,state_fips,state_abbr,density_tier,seat_count,quota,total_weight,n_ballots,elected_party_0,elected_party_1,elected_party_2,elected_party_3,elected_party_4,elected_party_5,elected_party_6,round_elim_c0,round_elim_c1,round_elim_c2,round_elim_c3,round_elim_c4,round_elim_c5,round_elim_c6,round_elim_c7,round_elim_c8,round_elim_c9
29-01,29,MO,URBAN,5,18.0,105.7721,119,2,1,5.0,6.0,8.0,,,4.0,-1.0,-1.0,2.0,3.0,-1.0,-1.0,,-1.0,1.0
29-02,29,MO,URBAN,5,14.0,82.8799,102,3,2,6.0,4.0,0.0,,,-1.0,3.0,-1.0,-1.0,-1.0,2.0,-1.0,,1.0,
29-03,29,MO,SUBURBAN,3,127.0,506.2947,541,0,2,1.0,,,,,-1.0,-1.0,-1.0,4.0,3.0,2.0,5.0,,,1.0
29-04,29,MO,RURAL,3,64.0,255.7833,285,0,5,1.0,,,,,-1.0,-1.0,4.0,,3.0,-1.0,5.0,,2.0,1.0
30-01,30,MT,SUBURBAN,3,65.0,257.3811,185,1,2,0.0,,,,,-1.0,-1.0,-1.0,,4.0,3.0,5.0,,2.0,1.0
31-01,31,NE,SUBURBAN,5,50.0,295.9094,286,0,1,6.0,2.0,5.0,,,-1.0,-1.0,-1.0,3.0,2.0,-1.0,-1.0,,,1.0
32-01,32,NV,URBAN,5,62.0,368.6597,266,1,2,0.0,5.0,4.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,,,3.0,1.0
32-02,32,NV,SUBURBAN,3,85.0,338.8753,307,0,5,1.0,,,,,-1.0,-1.0,5.0,4.0,,-1.0,2.0,,1.0,3.0
33-01,33,NH,SUBURBAN,4,53.0,264.7018,252,0,1,8.0,6.0,,,,-1.0,-1.0,2.0,1.0,4.0,,-1.0,,-1.0,3.0
34-01,34,NJ,URBAN,7,11.0,81.4364,71,0,5,2.0,1.0,6.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,1.0,2.0
34-02,34,NJ,URBAN,7,12.0,89.3995,97,1,0,4.0,5.0,8.0,2.0,6.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,-1.0,2.0
34-03,34,NJ,URBAN,5,11.0,65.7694,77,4,1,5.0,2.0,0.0,,,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,3.0,,1.0,
34-04,34,NJ,SUBURBAN,5,155.0,925.6068,996,1,2,0.0,4.0,6.0,,,-1.0,-1.0,-1.0,,-1.0,2.0,-1.0,,1.0,3.0
35-01,35,NM,URBAN,3,53.0,209.0112,157,1,0,2.0,,,,,-1.0,-1.0,-1.0,2.0,,4.0,5.0,,1.0,3.0
35-02,35,NM,SUBURBAN,3,52.0,206.0863,152,1,2,0.0,,,,,-1.0,-1.0,-1.0,,,3.0,1.0,,4.0,2.0
36-01,36,NY,URBAN,7,26.0,203.954,196,1,2,0.0,5.0,8.0,6.0,4.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0,
36-02,36,NY,URBAN,7,24.0,191.7818,209,1,2,6.0,4.0,0.0,5.0,8.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,-1.0,
36-03,36,NY,URBAN,7,26.0,207.5038,225,6,0,1.0,2.0,5.0,4.0,8.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,,-1.0,
36-04,36,NY,URBAN,7,30.0,232.254,204,2,4,5.0,1.0,6.0,8.0,0.0,-1.0,-1.0,-1.0,,-1.0,-1.0,-1.0,,-1.0,1.0
36-05,36,NY,URBAN,5,31.0,180.1425,193,0,2,1.0,5.0,6.0,,,-1.0,-1.0,-1.0,1.0,3.0,-1.0,-1.0,,4.0,2.0
36-06,36,NY,SUBURBAN,5,59.0,352.7965,388,0,1,2.0,5.0,4.0,,,-1.0,-1.0,-1.0,,-1.0,-1.0,3.0,,2.0,1.0
36-07,36,NY,SUBURBAN,5,55.0,324.6585,392,1,0,2.0,4.0,6.0,,,-1.0,-1.0,-1.0,2.0,-1.0,1.0,-1.0,,4.0,3.0
