w,baseline_party,k5_noresid,k4_resid,k4_noresid,conf_resid,conf_noresid
0.455868103459296,LIB,5,2,2,0.6019726700074939,0.8226707935950366
2.275590092797585,LIB,5,6,7,0.8832374471705512,0.9279797038370681
1.009292996631902,LIB,9,6,6,0.4746753099556612,0.40125130249015284
2.075264169281082,C7,6,7,5,0.8003829541819153,0.7221152615571266
0.4459851460073663,CON,2,9,9,0.845132082891161,0.814512761942455
0.5117212286843097,PRG,1,5,4,0.7551832438043268,0.9595942994743836
0.0358014927691554,C7,6,7,5,0.8812431200584697,0.7544980203723225
0.3379447013281978,C7,6,7,5,0.8565368856505037,0.7477577294729515
0.2620202630341752,DSA,7,4,0,0.6050637562599076,0.58902709841489
0.0039723701216445,POP,3,3,3,0.5176890512748569,0.9862947300667794
1.653615393799886,CON,2,9,9,0.8519497215829523,0.8242229589066071
2.012356834378102,PRG,7,4,4,0.5017470517818021,0.6752874952387451
1.019416127347434,CON,2,9,6,0.5848520990759182,0.582551311703793
0.4992656628806291,POP,4,0,1,0.7160377733024008,0.7601427441011361
0.3994917380373995,CON,2,7,5,0.7491532745202278,0.7088921567347783
0.5475472389244956,CON,2,3,9,0.8543166330901816,0.823422157955156
6.454316776596041,DSA,4,0,1,0.8270964234295575,0.9826883301879438
0.0001451242821529,STY,3,3,3,0.6716546820511514,0.6792577864978494
0.0001421062284515,LIB,4,1,2,0.8408634362111055,0.5586945112092312
0.3876010269565668,CON,2,8,8,0.44939016768527434,0.5552615012737222
2.436253647888531,POP,4,0,1,0.9942321504229585,0.5718350768707371
0.238874434746329,POP,4,0,1,0.508754237576502,0.845423961692209
0.0001611594219148,POP,4,0,1,0.81963950160119,0.8553552105690615
0.2101886110106706,C7,1,1,2,0.8795608191561055,0.5105896822272251
0.1727257434455291,POP,3,7,5,0.7720600485274851,0.8564191720039093
1.717105608853826,STY,0,9,9,0.4569401358935368,0.5000924022387923
0.0165493631661152,DSA,4,0,1,0.7847949992605578,0.9226087897502293
1.201867449052703,LIB,5,2,7,0.7179882915862134,0.4909410187450587
1.8724940324444,DSA,4,2,1,0.6470792144919503,0.9036270139956916
1.132658807757652,PRG,1,5,4,0.9396146783616309,0.9754155040164865
0.1536894306300784,PRG,1,5,4,0.7100682229251228,0.9477351527101087
0.0002956988120934,POP,4,0,1,0.9770488699907638,0.6031113170035014
0.0481803120711692,POP,3,0,1,0.9994769878783683,0.999034723093223
0.3295278452045557,CON,2,3,3,0.574930690526831,0.5241406273962119
0.0006057396002456,STY,0,3,6,0.8834373052446388,0.6030943651516669
0.00822548397934,NAT,8,8,8,0.9326201646535653,0.9544038106026943
1.035803866633598,STY,0,9,6,0.7719256635538317,0.8560071936680365
0.1573080948095529,PRG,1,5,4,0.6702471976606048,0.9730868467381153
0.7197955850889989,SD,7,4,0,0.8087512296267471,0.8726872329922333
0.7624809330902046,NAT,8,8,8,0.9674263541537599,0.968356414615617
0.0084988925422437,LIB,4,2,1,0.7248212412855063,0.5925281680370897
0.4353468981393744,CON,6,7,5,0.8237231115231115,0.801355020852589
0.5790455462219689,LIB,4,1,2,0.8068311209770428,0.5599982807035379
0.0189708023036025,DSA,7,4,0,0.8042620995909636,0.6779647387438051
1.342346153959358,CON,2,7,5,0.8906045617029011,0.7649718755977017
1.087225890921717,PRG,1,5,4,0.9424347335408617,0.9739503446852643
0.6894995005117295,DSA,4,0,1,0.889645431705002,0.962496469480978
0.3128214044289078,LIB,3,3,3,0.7354991624404996,0.5322339796414068
0.8415439658196947,STY,0,3,3,0.9999491410646296,0.9973725513763833
0.0019209895407299,LIB,9,6,6,0.6346986183568674,0.6396427398051038
2.179804353702525,SD,7,4,0,0.9693857411979298,0.9569378522221088
0.5760301777071932,SD,7,4,0,0.9404038501641261,0.8522818501314904
0.9719999190925784,C7,1,1,7,0.9436897185353962,0.7507256550826752
0.9696479781888128,CON,2,9,9,0.6598869549941087,0.6591340518593692
0.1836635317511754,LIB,9,6,7,0.6405710357837405,0.5905194828953704
2.313577823477676,CON,2,9,9,0.5728688441718665,0.6498867569822441
2.800781049052675,CON,2,8,9,0.7056594954688583,0.6773979745261183
0.1690876195958278,LIB,4,2,1,0.4350483430882164,0.6432832976717496
0.2007769241533127,CON,2,7,9,0.6937666494917158,0.6645684472243494
0.3384784290519312,STY,2,3,9,0.5036420278622694,0.4998294916422845
0.7576435327801058,C7,1,6,7,0.9617585688924173,0.9212711141974887
0.0001457997833777,NAT,8,8,8,0.6293433041422175,0.5512085195514475
0.4448499422604068,LIB,9,6,7,0.5172621609132588,0.38958132952658425
1.13811908207814,C7,1,5,2,0.9317838685378615,0.965447009830274
1.158050253831152,CON,2,7,5,0.8018242116809027,0.8069179794034935
0.0001232920567167,CUP,9,1,7,0.39053944466101514,0.786097239363789
0.7741814458192583,LIB,4,6,7,0.7638492715160151,0.4861788129477648
0.1842033118929725,C7,1,6,7,0.9356631142290552,0.9463230794907908
0.042600119371307,POP,3,0,1,0.8910611351559492,0.6830942060963406
0.0001640184693864,C7,1,1,7,0.7919379796406169,0.5193148813662255
0.0798869520285049,PRG,1,5,4,0.8608257627510877,0.9801666268778181
0.0077639590689898,CON,2,3,3,0.7082606697670694,0.6887332822937269
1.253599614892023,PRG,7,4,0,0.6008296631763222,0.5426057838979299
0.183600797949189,POP,4,0,1,0.9958112745144825,0.9047530057502766
0.4439615606696335,C7,1,1,2,0.9735886693128177,0.9247758214120134
0.4954864692388671,CON,2,7,5,0.8932400756965541,0.8338797032655314
0.2462778747722699,CON,2,9,9,0.6291531396471692,0.5968818727863389
1.092016210410139,CUP,9,0,6,0.6102063870825308,0.7365076196537288
