state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_OAO,inc_LIB,inc_POP,inc_LBR,inc_NAT,inc_PRG,inc_DSA,inc_CUP,inc_STY,inc_CON
1,AL,CON_1,CON,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,CUP_1,CUP,7.69,1.49,0.7,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,DSA_1,DSA,10.49,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,NAT_1,NAT,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AL,STY_1,STY,10.77,0.0,0.0,5.94,3.61,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,CON_1,CON,15.33,0.0,0.0,0.0,0.0,9.85,0.0,0.0,0.0,0.0,0.0
2,AK,CUP_1,CUP,17.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LBR_1,LBR,19.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AK,LIB_1,LIB,13.52,0.0,0.0,0.0,0.0,0.0,1.6,0.76,0.0,0.0,0.0
2,AK,STY_1,STY,9.97,0.0,0.0,5.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0
4,AZ,CON_1,CON,20.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,LBR_1,LBR,9.85,0.97,0.0,0.0,0.0,0.0,0.0,6.04,1.26,0.0,0.0
4,AZ,LIB_1,LIB,9.76,0.93,0.0,0.0,0.0,0.0,5.33,0.0,0.0,0.0,0.0
4,AZ,NAT_1,NAT,18.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AZ,POP_1,POP,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,CON_1,CON,22.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,LBR_1,LBR,16.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.17,0.0
5,AR,LIB_1,LIB,5.64,1.09,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0.0,0.0
5,AR,NAT_1,NAT,12.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AR,POP_1,POP,10.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,2.24,0.0
6,CA,CON_1,CON,13.51,1.72,0.0,0.0,0.0,0.0,0.0,0.0,1.52,0.0,0.0
6,CA,LBR_1,LBR,16.2,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0
6,CA,LIB_1,LIB,15.71,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,NAT_1,NAT,11.36,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,CA,STY_1,STY,9.22,0.0,0.0,4.04,0.0,0.0,0.0,0.0,1.93,0.0,0.0
8,CO,CON_1,CON,22.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,LBR_1,LBR,13.92,0.0,0.0,0.0,0.0,0.0,0.0,4.13,0.53,1.86,0.0
8,CO,LIB_1,LIB,14.41,1.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,CO,POP_1,POP,10.32,0.0,0.0,0.0,0.0,5.04,0.0,0.0,0.0,1.71,0.0
8,CO,PRG_1,PRG,11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.0,0.0
9,CT,CON_1,CON,19.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,LBR_1,LBR,12.98,0.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,2.23,0.0
9,CT,LIB_1,LIB,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,CT,POP_1,POP,8.6,0.0,0.0,0.0,0.0,6.39,0.0,0.0,2.05,1.68,0.0
9,CT,PRG_1,PRG,12.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_1,CON,25.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,CON_2,CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.97
10,DE,LBR_1,LBR,20.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,DE,LIB_1,LIB,11.07,0.0,0.0,0.0,0.0,0.0,5.37,0.0,1.45,0.0,0.0
10,DE,OAO_1,OAO,14.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LBR_1,LBR,17.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08,0.0
11,DC,LIB_1,LIB,31.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,LIB_2,LIB,0.0,1.35,13.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
