candidate_code,candidate_name,variable,label,scale,domain,overall_mean,candidate_mean,delta,delta_pct_range
BE,NAT,CC24_321e,Oppose 10% police budget cut,"1=Lib (support cut), 2=Con (oppose cut); HIGH=con",Guns/Policing,1.732,1.9989,0.2669,30.64
BE,NAT,CC24_325,Abortion week limit (40−raw; high=more restrictive),0–39 (0=most permissive),Abortion,23.9201,32.1471,8.227,36.25
BE,NAT,CC24_324b,Permit abortion only rape/incest/life danger,"1=Oppose, 2=Support (HIGH=restrictive)",Abortion,1.486,1.2776,-0.2084,-31.35
BE,NAT,CC24_340b,Oppose ban on abortion service restrictions,"1=Lib (support ban), 2=Con (oppose ban); HIGH=con",Abortion,1.3698,1.6848,0.315,49.1
BE,NAT,CC24_340c,Oppose same-sex marriage recognition,"1=Lib (support SSM), 2=Con (oppose SSM); HIGH=con",Civil Liberties,1.3393,1.7346,0.3953,53.88
BE,NAT,CC24_340e,Renew post-9/11 surveillance programs,"1=Oppose, 2=Support (HIGH=con)",Civil Liberties,1.6598,1.905,0.2452,36.13
BE,NAT,CC24_340f,Deny asylum at the border,"1=Oppose, 2=Support (HIGH=con)",Immigration,1.3683,1.0,-0.3683,-36.84
BE,NAT,CC24_440b,Racial problems today are rare and isolated,"1=Disagree, 2=Agree (HIGH=racial minimization)",Race/Gender,3.4832,1.9846,-1.4986,-53.65
BE,NAT,CC24_440c,Women seek to gain power over men,"1=Disagree, 2=Agree (HIGH=traditional gender)",Race/Gender,3.5378,2.6119,-0.9259,-41.61
BE,NAT,CC24_421_1,Disagree: U.S. elections are fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,2.3653,2.8104,0.4451,24.2
BE,NAT,CC24_421_2,Disagree: 2024 state/local election was fair [distrust],"1=Agree (trust), 2=Disagree (distrust)",Institutional Trust,1.9098,2.3298,0.42,23.13
BE,NAT,CC24_423,Federal government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.41,2.5618,0.1518,30.12
BE,NAT,CC24_424,State government trust (high=distrust),"1=Trust, 2=Neutral, 3=Distrust",Institutional Trust,2.1875,2.2445,0.057,12.81
BE,NAT,ideo5,Ideology self-placement,1=Very Liberal … 5=Very Conservative,Demographics,3.0532,4.2101,1.1569,43.85
BE,NAT,pew_religimp,Importance of religion (flipped: HIGH=more important),1=Not at all important … 4=Very important; HIGH=more religious,Religion,2.7105,3.1868,0.4763,32.6
CO,LIB,pew_churatd,Church attendance frequency,1=Never … 6=More than once/week,Religion,4.3467,4.8123,0.4656,32.17
CO,LIB,CC24_302,Household income change past year,1–5 scale (see CCES codebook),Economic Context,3.1199,2.6856,-0.4343,-50.38
CO,LIB,CC24_303,Perceived price change past year (high=inflation),1–5 scale (higher=more inflation perceived),Economic Context,1.6116,2.0245,0.4129,45.71
CO,LIB,CC24_341a,Support extending 2017 tax cuts,"1=Oppose, 2=Support (HIGH=con)",Economic,1.3709,1.67,0.2991,36.46
CO,LIB,CC24_341c,Oppose raising $400k+ income tax rates,"1=Lib (support raise), 2=Con (oppose raise); HIGH=con",Economic,1.3465,1.02,-0.3265,-35.32
CO,LIB,CC24_341d,Oppose $150B infrastructure spending,"1=Lib (support spending), 2=Con (oppose spending); HIGH=con",Economic,1.1955,1.0256,-0.1699,-38.03
