state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_PRG,inc_NAT
18,IN,POP_1,POP,11.29,1.99,1.7,0.0,0.0,0.0,0.0,2.22,0.0,1.05
19,IA,CON_1,CON,21.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,IA,CUP_1,CUP,8.76,1.64,4.11,0.0,1.41,0.0,0.0,0.0,0.0,15.55
19,IA,LBR_1,LBR,14.93,0.0,1.65,0.0,0.0,0.0,8.79,0.0,0.0,0.0
19,IA,LIB_1,LIB,7.04,0.0,1.65,0.0,0.0,0.0,2.09,5.01,2.64,0.0
19,IA,POP_1,POP,12.58,1.37,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0
20,KS,CON_1,CON,25.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55
20,KS,CUP_1,CUP,8.29,3.63,1.28,0.0,5.31,0.0,0.0,0.0,0.0,0.0
20,KS,LBR_1,LBR,14.28,0.0,0.0,0.0,0.0,0.0,5.92,0.0,0.0,0.0
20,KS,LIB_1,LIB,13.33,0.0,0.51,0.0,0.0,0.0,0.52,1.6,6.54,0.0
20,KS,POP_1,POP,11.6,5.18,0.0,1.61,0.0,0.0,0.0,1.49,0.0,1.76
21,KY,CON_1,CON,23.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,CUP_1,CUP,9.75,5.11,3.89,0.0,1.48,0.0,0.0,0.0,0.0,0.0
21,KY,LBR_1,LBR,17.02,0.0,0.0,0.0,9.85,0.0,0.0,0.0,0.0,0.0
21,KY,NAT_1,NAT,13.51,3.29,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0
21,KY,POP_1,POP,14.86,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0
22,LA,CON_1,CON,22.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,LA,CUP_1,CUP,14.39,1.58,3.79,0.0,1.87,0.0,0.0,0.0,0.0,0.0
22,LA,LBR_1,LBR,11.21,0.0,2.21,3.21,10.02,0.55,2.76,0.0,0.0,0.0
22,LA,NAT_1,NAT,16.2,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
