state_fips,state_abbr,cand_code,cand_label,primary_cluster,secondary_cluster,w_primary,w_secondary,cand_type,state_share_primary,state_share_secondary,cooc_rate
9,CT,LBR/STY,LBR/STY,1,2.0,0.687,0.313,cooc,0.1493,0.1175,0.1359
9,CT,CON/POP,CON/POP,0,5.0,0.6802,0.3198,cooc,0.1737,0.1066,0.1229
9,CT,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.1493,0.1302,0.0976
9,CT,LIB/PRG,LIB/PRG,4,9.0,0.5,0.5,cooc,0.1302,0.0695,0.0815
9,CT,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.1175,0.1066,0.068
9,CT,POP/NAT,POP/NAT,5,3.0,0.5,0.5,cooc,0.1066,0.0706,0.0547
10,DE,CON,CON,0,,1.0,0.0,pure,0.1945,,
10,DE,LBR,LBR,1,,1.0,0.0,pure,0.1975,,
10,DE,STY,STY,2,,1.0,0.0,pure,0.1007,,
10,DE,NAT,NAT,3,,1.0,0.0,pure,0.0624,,
10,DE,LIB,LIB,4,,1.0,0.0,pure,0.0841,,
10,DE,POP,POP,5,,1.0,0.0,pure,0.0707,,
10,DE,CUP,CUP,6,,1.0,0.0,pure,0.1075,,
10,DE,OAO,OAO,7,,1.0,0.0,pure,0.1164,,
10,DE,LBR/CUP,LBR/CUP,1,6.0,0.7,0.3,cooc,0.1975,0.1075,0.1316
10,DE,LBR/STY,LBR/STY,1,2.0,0.7,0.3,cooc,0.1975,0.1007,0.1212
10,DE,CON/NAT,CON/NAT,0,3.0,0.6164,0.3836,cooc,0.1945,0.0624,0.1056
10,DE,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1945,0.0707,0.0945
10,DE,OAO/LIB,OAO/LIB,7,4.0,0.7,0.3,cooc,0.1164,0.0841,0.0716
10,DE,STY/POP,STY/POP,2,5.0,0.5431,0.4569,cooc,0.1007,0.0707,0.0629
10,DE,LBR/CON,LBR/CON,1,0.0,0.55,0.45,wildcard,0.1975,0.1945,
11,DC,CON,CON,0,,1.0,0.0,pure,0.0921,,
11,DC,LBR,LBR,1,,1.0,0.0,pure,0.2195,,
11,DC,STY,STY,2,,1.0,0.0,pure,0.0911,,
11,DC,LIB,LIB,4,,1.0,0.0,pure,0.2066,,
11,DC,POP,POP,5,,1.0,0.0,pure,0.0632,,
11,DC,CUP,CUP,6,,1.0,0.0,pure,0.0794,,
11,DC,DSA,DSA,8,,1.0,0.0,pure,0.1086,,
11,DC,PRG,PRG,9,,1.0,0.0,pure,0.1054,,
11,DC,LBR/LIB,LBR/LIB,1,4.0,0.5,0.5,cooc,0.2195,0.2066,0.2252
11,DC,LBR/DSA,LBR/DSA,1,8.0,0.5,0.5,cooc,0.2195,0.1086,0.1219
11,DC,LBR/STY,LBR/STY,1,2.0,0.7,0.3,cooc,0.2195,0.0911,0.1131
11,DC,STY/POP,STY/POP,2,5.0,0.5,0.5,cooc,0.0911,0.0632,0.0992
11,DC,DSA/PRG,DSA/PRG,8,9.0,0.5,0.5,cooc,0.1086,0.1054,0.0677
11,DC,LIB/PRG,LIB/PRG,4,9.0,0.5,0.5,cooc,0.2066,0.1054,0.0646
12,FL,CON,CON,0,,1.0,0.0,pure,0.1873,,
12,FL,LBR,LBR,1,,1.0,0.0,pure,0.1436,,
12,FL,STY,STY,2,,1.0,0.0,pure,0.1768,,
12,FL,NAT,NAT,3,,1.0,0.0,pure,0.0659,,
12,FL,LIB,LIB,4,,1.0,0.0,pure,0.0638,,
12,FL,POP,POP,5,,1.0,0.0,pure,0.0969,,
12,FL,CUP,CUP,6,,1.0,0.0,pure,0.1275,,
12,FL,OAO,OAO,7,,1.0,0.0,pure,0.0529,,
12,FL,DSA,DSA,8,,1.0,0.0,pure,0.0648,,
12,FL,STY/LBR,STY/LBR,2,1.0,0.5084,0.4916,cooc,0.1768,0.1436,0.1516
12,FL,CON/CUP,CON/CUP,0,6.0,0.6596,0.3404,cooc,0.1873,0.1275,0.1164
12,FL,STY/POP,STY/POP,2,5.0,0.5401,0.4599,cooc,0.1768,0.0969,0.1154
12,FL,CON/NAT,CON/NAT,0,3.0,0.5,0.5,cooc,0.1873,0.0659,0.1018
12,FL,CON/POP,CON/POP,0,5.0,0.7,0.3,cooc,0.1873,0.0969,0.0662
12,FL,LBR/DSA,LBR/DSA,1,8.0,0.5,0.5,cooc,0.1436,0.0648,0.0593
12,FL,CON/STY,CON/STY,0,2.0,0.55,0.45,wildcard,0.1873,0.1768,
13,GA,CON,CON,0,,1.0,0.0,pure,0.1854,,
13,GA,LBR,LBR,1,,1.0,0.0,pure,0.1631,,
13,GA,STY,STY,2,,1.0,0.0,pure,0.1712,,
13,GA,NAT,NAT,3,,1.0,0.0,pure,0.0741,,
13,GA,LIB,LIB,4,,1.0,0.0,pure,0.0863,,
13,GA,POP,POP,5,,1.0,0.0,pure,0.0962,,
13,GA,CUP,CUP,6,,1.0,0.0,pure,0.1181,,
