respondent_id,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,rank_11,rank_12,rank_13,rank_14,rank_15,rank_16,rank_17,rank_18,rank_19,rank_20
44182,LK,SD_CTR,CO,SD_CON,SD_LIB,CON_CTR,CON_SD,MW,SD_STY,RH,CON_STY,STY_SD,CON_REF,JR,MRJ,STY_REF,REF_STY,DH,BE,ZN
44183,SD_CON,CON_SD,CON_REF,CON_STY,MRJ,STY_REF,REF_STY,SD_STY,SD_CTR,STY_SD,RH,MW,DH,CON_CTR,SD_LIB,LK,BE,CO,ZN,JR
44184,CON_STY,MRJ,SD_CON,STY_REF,CON_SD,CON_CTR,RH,STY_SD,SD_STY,CON_REF,SD_CTR,REF_STY,MW,LK,DH,SD_LIB,CO,BE,ZN,JR
44185,CON_SD,SD_STY,MRJ,SD_CON,STY_SD,CON_STY,MW,REF_STY,STY_REF,SD_CTR,LK,RH,CON_REF,CON_CTR,SD_LIB,CO,ZN,DH,JR,BE
44186,ZN,STY_SD,MRJ,SD_STY,CO,MW,STY_REF,CON_REF,DH,CON_SD,SD_CON,REF_STY,SD_CTR,CON_STY,CON_CTR,JR,SD_LIB,BE,LK,RH
44187,LK,CON_REF,SD_CON,RH,CON_SD,CON_STY,CON_CTR,SD_CTR,SD_STY,SD_LIB,MW,STY_SD,MRJ,STY_REF,REF_STY,CO,BE,DH,JR,ZN
44188,LK,SD_CTR,CO,CON_SD,SD_CON,SD_LIB,CON_CTR,MW,SD_STY,RH,CON_STY,STY_SD,CON_REF,JR,MRJ,STY_REF,REF_STY,BE,DH,ZN
44189,CON_STY,STY_SD,SD_LIB,CO,SD_CON,DH,BE,MRJ,CON_SD,JR,CON_CTR,LK,SD_CTR,RH,STY_REF,REF_STY,MW,SD_STY,ZN,CON_REF
44190,JR,SD_LIB,MW,CO,SD_CTR,STY_SD,SD_STY,ZN,SD_CON,CON_CTR,LK,CON_SD,MRJ,CON_STY,STY_REF,RH,REF_STY,CON_REF,BE,DH
44191,SD_LIB,ZN,JR,CO,MW,SD_STY,SD_CTR,STY_SD,SD_CON,MRJ,CON_SD,STY_REF,CON_STY,LK,BE,REF_STY,CON_CTR,DH,CON_REF,RH
44192,MRJ,STY_SD,ZN,SD_STY,MW,STY_REF,SD_CTR,REF_STY,SD_CON,SD_LIB,CON_STY,CON_SD,CO,CON_REF,DH,JR,RH,CON_CTR,LK,BE
44193,JR,ZN,SD_LIB,CO,MW,STY_SD,SD_STY,SD_CTR,MRJ,SD_CON,CON_SD,LK,DH,CON_STY,CON_REF,REF_STY,BE,STY_REF,RH,CON_CTR
44194,ZN,STY_SD,MW,MRJ,SD_STY,SD_LIB,JR,SD_CON,CO,SD_CTR,STY_REF,CON_SD,CON_STY,REF_STY,LK,DH,CON_REF,BE,RH,CON_CTR
44195,JR,SD_LIB,MW,CO,STY_SD,ZN,SD_CTR,SD_STY,SD_CON,CON_SD,MRJ,LK,CON_STY,CON_CTR,STY_REF,RH,CON_REF,REF_STY,DH,BE
44196,JR,CO,SD_LIB,SD_CTR,MW,STY_SD,ZN,LK,SD_STY,SD_CON,MRJ,CON_SD,REF_STY,BE,RH,STY_REF,CON_STY,CON_REF,CON_CTR,DH
44197,ZN,MW,STY_SD,JR,SD_STY,SD_LIB,MRJ,CO,SD_CTR,SD_CON,CON_STY,CON_SD,STY_REF,REF_STY,CON_CTR,LK,RH,CON_REF,BE,DH
44198,JR,SD_LIB,MW,CO,ZN,SD_STY,STY_SD,SD_CTR,MRJ,SD_CON,CON_SD,STY_REF,LK,CON_STY,REF_STY,CON_CTR,RH,BE,CON_REF,DH
44199,RH,CON_CTR,CON_STY,CON_REF,CON_SD,SD_CON,LK,STY_REF,SD_CTR,DH,MRJ,REF_STY,STY_SD,SD_STY,BE,MW,SD_LIB,CO,JR,ZN
44200,MRJ,STY_REF,STY_SD,REF_STY,CON_STY,SD_STY,ZN,SD_CON,MW,CON_SD,DH,CON_REF,RH,SD_LIB,SD_CTR,BE,CON_CTR,LK,JR,CO
