variable,domain,type,stat_label,question,overall,CON,SD,STY,NAT,LIB,POP,CUP,C7,DSA,PRG,house_chamber
CC24_328e,Healthcare & Housing,binary,% Supporting,Expand Medicaid (income <$25k individual / <$40k family),78.6882,67.2118,93.4622,84.2906,38.0257,95.4068,65.8631,79.1274,88.5421,98.7615,99.3276,80.2606
CC24_440a,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",White people have certain advantages because of their race,2.6905,3.5336,1.912,2.3041,4.3596,1.6061,3.6628,2.9772,2.5245,1.2612,1.2172,2.6645
CC24_440a,Racial & Gender,likert5_dist,% Strongly Agree,White people have certain advantages because of their race,29.03,6.85,40.08,32.29,0.86,56.4,9.43,16.06,22.52,76.8,80.99,27.5642
CC24_440a,Racial & Gender,likert5_dist,% Agree,White people have certain advantages because of their race,22.83,15.33,39.13,28.24,3.15,32.34,12.14,25.74,33.42,20.9,17.28,24.8064
CC24_440a,Racial & Gender,likert5_dist,% Neither,White people have certain advantages because of their race,18.04,26.64,13.42,24.58,16.73,7.43,22.3,23.84,23.55,1.75,1.16,19.3751
CC24_440a,Racial & Gender,likert5_dist,% Disagree,White people have certain advantages because of their race,10.27,19.96,4.28,6.54,17.66,1.89,14.97,13.13,10.11,0.47,0.19,10.1169
CC24_440a,Racial & Gender,likert5_dist,% Strongly Disagree,White people have certain advantages because of their race,19.83,31.22,3.1,8.34,61.59,1.94,41.16,21.22,10.4,0.08,0.39,18.136
CC24_440b,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)","Racial problems in the U.S. are rare, isolated situations",3.4832,2.9101,4.0527,3.612,1.9846,4.3917,2.7983,3.1414,3.7822,4.7575,4.7779,3.4855
CC24_440b,Racial & Gender,likert5_dist,% Strongly Agree,"Racial problems in the U.S. are rare, isolated situations",9.59,12.13,1.69,6.26,37.33,0.14,17.72,10.07,2.21,0.0,0.0,8.4179
CC24_440b,Racial & Gender,likert5_dist,% Agree,"Racial problems in the U.S. are rare, isolated situations",17.26,28.98,7.11,12.49,37.28,1.89,27.56,24.28,12.45,0.04,0.0,17.0254
CC24_440b,Racial & Gender,likert5_dist,% Neither,"Racial problems in the U.S. are rare, isolated situations",17.16,25.12,13.28,23.36,16.58,7.89,24.51,22.94,16.1,0.89,0.07,19.064
CC24_440b,Racial & Gender,likert5_dist,% Disagree,"Racial problems in the U.S. are rare, isolated situations",27.21,23.28,40.09,29.57,7.23,38.83,17.6,26.84,43.39,22.36,22.07,28.5701
CC24_440b,Racial & Gender,likert5_dist,% Strongly Disagree,"Racial problems in the U.S. are rare, isolated situations",28.78,10.48,37.83,28.32,1.58,51.26,12.62,15.86,25.85,76.71,77.86,26.9221
CC24_440c,Racial & Gender,likert5,"Mean (1=Strongly Agree, 5=Strongly Disagree)",Women seek to gain power by getting control over men,3.5378,3.0973,3.918,3.326,2.6119,4.4205,2.8228,3.2341,3.7537,4.7164,4.8369,3.4754
