,caseid,countyfips,cd119
627,1856111780.0,42091,4
628,1854589598.0,39049,15
629,1856116512.0,54011,1
630,1856118594.0,39057,10
631,1848825200.0,45051,7
632,1856118386.0,22113,3
633,1853584338.0,25013,1
634,1856092876.0,53063,5
635,1854438194.0,26055,1
636,1856119050.0,29189,1
637,1856131670.0,06059,47
638,1856114886.0,06037,44
639,1855995420.0,48157,22
640,1856084560.0,25009,6
641,1856119412.0,08123,8
642,1856125662.0,20111,2
643,1856044644.0,36029,26
644,1856093878.0,06067,6
645,1856131582.0,06019,21
646,1854645160.0,40109,5
647,1856131852.0,13089,5
648,1856118554.0,48113,32
649,1856143902.0,36047,7
650,1856131736.0,19121,3
651,1856070434.0,12009,8
652,1856136886.0,44007,1
653,1856135368.0,53011,3
654,1856130798.0,17031,1
655,1856131590.0,42055,13
656,1856142438.0,09001,4
657,1856135486.0,45073,3
658,1856033500.0,48183,1
659,1856135518.0,42101,3
660,1856131608.0,41051,5
661,1856138172.0,42007,17
662,1854644464.0,47119,5
663,1856140212.0,49035,2
664,1856156402.0,12113,1
665,1856131802.0,06037,37
666,1856149160.0,21125,5
667,1856148770.0,12115,17
668,1856131826.0,48201,36
669,1856131946.0,27123,4
670,1856118420.0,12095,11
671,1856144438.0,26081,3
672,1853191994.0,06065,25
673,1856149596.0,36047,7
674,1856145412.0,04019,7
675,1854337470.0,27041,7
676,1856155776.0,32003,4
677,1854516754.0,41051,3
678,1856163674.0,36079,17
679,1856144890.0,39049,15
680,1856015252.0,24009,5
681,1856156908.0,53033,7
682,1856131882.0,55127,5
683,1856146396.0,42029,6
684,1856138838.0,04015,9
685,1856131704.0,36103,2
686,1856145120.0,39049,3
687,1856119126.0,40131,2
688,1856095998.0,42079,8
689,1856040438.0,36011,24
690,1856041008.0,06013,10
691,1854611648.0,45051,7
692,1856091718.0,26163,13
693,1856146862.0,17197,14
694,1856084456.0,24510,2
695,1856087902.0,13135,13
696,1856134986.0,12109,6
697,1856135526.0,15003,1
698,1856153196.0,46103,1
699,1859929126.0,22073,5
700,1859945384.0,37155,7
701,1859956920.0,17179,16
702,1859760932.0,39029,6
703,1859988650.0,26085,2
704,1859948316.0,12073,2
705,1860003236.0,29097,7
706,1859957336.0,37009,5
707,1860023108.0,42091,4
708,1860032922.0,26147,9
709,1860018034.0,22111,4
710,1860056048.0,01055,3
711,1860063040.0,17031,4
712,1860071858.0,17031,1
713,1860056614.0,21013,5
714,1850819930.0,12015,17
715,1859981308.0,41029,2
716,1858889400.0,47093,2
717,1860033020.0,48007,27
718,1860137224.0,39085,14
719,1860146160.0,36103,1
720,1860145678.0,36005,15
721,1860137140.0,17133,12
722,1860139948.0,12086,27
723,1860145956.0,42043,10
724,1860032690.0,48379,4
725,1860149554.0,12033,1
726,1860172492.0,40013,2
727,1858923944.0,48203,1
728,1860216382.0,47145,3
729,1860204116.0,05045,2
730,1860219928.0,39083,12
731,1860218314.0,42077,7
732,1860204140.0,37133,3
733,1860242748.0,36047,10
734,1860101396.0,37001,9
735,1860277328.0,29095,5
736,1860285730.0,48121,13
737,1860309352.0,36005,14
738,1860301206.0,42101,2
739,1860333188.0,17089,8
740,1860365888.0,48201,7
741,1860340988.0,22027,4
742,1860336838.0,48007,27
743,1860254776.0,55115,7
744,1860436572.0,36103,1
745,1860453202.0,34023,6
746,1860440888.0,51005,6
747,1860453348.0,06067,7
748,1860461700.0,42115,9
749,1860469060.0,06071,23
750,1860462236.0,22047,2
751,1860608364.0,42075,9
752,1860644714.0,41067,1
753,1860680716.0,12115,17
754,1860662796.0,55133,5
755,1860681056.0,12057,16
756,1860687182.0,36047,9
757,1860708516.0,17141,16
758,1860702880.0,40125,4
759,1860628530.0,06037,29
760,1860709078.0,25001,9
761,1860726340.0,16019,2
762,1860726442.0,26061,1
763,1860732730.0,55009,8
764,1860732852.0,48213,5
765,1860732748.0,51033,7
766,1860744800.0,39147,5
767,1860764248.0,18003,3
768,1860759346.0,18097,7
769,1860764452.0,17031,2
770,1860764418.0,27025,8
771,1860763784.0,26061,1
772,1860763796.0,15009,2
773,1860781684.0,36071,18
774,1860799368.0,36047,10
775,1860634266.0,08005,6
776,1860805574.0,47149,4
777,1860781816.0,42003,17
778,1860805584.0,25025,7
779,1860801396.0,27103,1
780,1860799634.0,12071,19
781,1860828570.0,13255,3
782,1860817790.0,26125,9
783,1860799552.0,36069,24
784,1860832520.0,18091,1
785,1860845898.0,26033,1
786,1860834762.0,26163,12
787,1860832956.0,09011,2
788,1860827952.0,26143,1
789,1860834592.0,25005,8
790,1860846542.0,13119,9
791,1860852474.0,42033,15
792,1860857402.0,12057,14
793,1860856228.0,48113,24
794,1860860366.0,27123,4
795,1860846142.0,12086,24
796,1860834936.0,06075,11
797,1860852008.0,17197,14
798,1860862100.0,42053,15
799,1860862438.0,39153,13
800,1860868920.0,27141,6
801,1860863282.0,36047,7
802,1860878610.0,37029,1
803,1860852516.0,27025,6
804,1860862884.0,25027,2
805,1860878524.0,36103,2
806,1860907390.0,36037,24
807,1860878136.0,36095,21
808,1860878798.0,12103,13
809,1860846436.0,12107,6
810,1859949870.0,12086,28
811,1860941046.0,48245,14
812,1860934142.0,51810,2
813,1860939188.0,34015,1
814,1860962060.0,12053,12
815,1860938014.0,13313,14
